name,page
Hales Stephen,71
Hali Ben Rodoham,71
Hali Ebn Aabas,71
Halitgarius Camerocensis,71
Halley,71
Hambden,72
Hamilcar Barcas,72
Hanbal,72
Handel,72
Hannibal Senior,72
Hannibal Senior,72
Hanifa,72
Hanno,72
Hardouin,72
Hardwicke,72
Harley,72
Harmodius,72
"Harold, of Denmark",72
"Harold, of England",72
Haroun al Rashid,72
Haroun of Egypt ,72
Harpalus,72
Harpocratio,72
Harrington,72
Harriot,72
Hartamannus,72
Hartley,72
Harvey,72
"Hastings, Earl of Pembroke",72
"Hawkwood, John",72
Haymo,72
Hazael ,72
"Hearne, John",72
Hebatilla Abul Haram,72
Hegesias,72
Hegesinus,72
Hegesippus,72
Heliodorus,72
Hellion de Villa Nova,73
Hellanicus,73
Hellen,73
Helmondus,73
"Helmont, Van",73
"Helpidius, Rusticus",73
Hemoaldus,73
Hemskirk,73
Hengham,73
Hengist,73
Henry 1st of Germany,73
Henry 4th of Germany,73
Henry 4th of France,73
Henry 5th of England,73
Henry of Ghent,73
Henry of Huntingdon,73
Heraclitus,73
Heraclius,73
Herbelot,73
Herbert,73
Hercules,73
Hermachus,73
Hermannus,73
Hermas,73
Hermogenes Tarsensis,73
Hermogenes,73
Hermogenianus,73
Hermolaus,73
Hermolaus Barbarus,73
Herod the Great,73
Herodes Atticus,73
Herodian,73
Herodicus,73
Herodotus,74
Herring,74
Hesiod,74
Hesychius,74
Hiero,74
Hiero 2nd ,74
Hierocles,74
Hierocles,74
"Higden, Ran.",74
Hilary,74
Hildebertus de Lavardino,74
Hillel,74
Hillel 2nd,74
Hilliard,74
Himerius,74
Himilco,74
Hincmarus,74
Hipparchia,74
Hipparchus of Nice,74
Hippasus,74
Hippias,74
Hippocrates,74
Hipponax,74
Hiram,74
Hirtius,74
Histiaeus,74
Hoadley,74
Hobbs,74
"Hoffman, John Maurice",75
Hogarth,75
"Holbein, Hans",75
"Hollandus, Isaac",75
Hollar,75
Holt,75
Homberg,75
Homer,75
Honain,75
Honorius,75
Honorius Augustidunensis,75
Hooke,75
Hooker,75
Horace,75
Hormisdas 2nd,75
Horne,75
Horrox,75
Hortensius Qu,75
Hosea,75
Hosein,75
Hosius,75
"Hispital, de'l",75
Hottinger,75
Hottoman,75
"Howard, Edward",75
"Howard, Charles",75
"Howard, Thomas",75
Hubba,75
Hubert de Burgh,75
Hudson,75
Hugh Capet,75
Hugh White,75
Hulaku,76
Huge (Cardinal),76
Huldericus,76
Humenus,76
Huniades,76
"Hufs, John",76
"Hutcheson, Francis",76
"Hutchinson, John",76
Huygens,76
Hyllus,76
Hypatia,76
Hyperides,76
Hypolitus,76
Hypsicles,76
Hyrcanus,76
Jaafar Abu,76
Jacob Al Manfur,76
Jaddua,76
Jagatay,76
Jamblicus,76
Jansen c.,76
Jarchi,76
Jason,76
Jason,76
"Javolentus, Priscus",76
Idatius,76
Jeffrey of Beverley,76
Jehoahaz,77
Jehoiakim,77
Jehosaphat,77
Jehu,77
Jenghiz Khan,77
Jeremiah,77
Jeroboam,77
Jeroboam 2nd ,77
Jerom,77
Jerom of Prague,77
Jesus Sirac,77
Ignatius,77
Inaa of Wessex,77
Inachus,77
Inarus,77
Ingulphus of Croyland,77
Innocent 1st,77
Innocent 2nd,77
Innocent 3rd ,77
Joachim de Calaber,77
Joan D'Arc,77
Joannes Becanus,77
Joannes Hagastaldensis,77
Joannes Mauropus,77
Joannes de Rupescissa,77
Joannes Scholasticus,77
Joash of Israel,77
Joash of Judah,77
Joel,77
John of Ghent,77
John of Portugal,77
John Sobiekski,78
John,78
John the Baptist,78
John 19th,78
John 22nd,78
John of Brompton,78
John de Joinville,78
John of Salisbury,78
John Sprot,78
Johnson Ben,78
Ion Chius,78
Jonah,78
Jonathan Macchabaeus,78
Jonathan Ben Uzziel,78
"Jones, Inigo",78
Joram,78
Jornandes,78
Josephus,78
Josiah,78
Jotham,78
Jovian,78
Jovius Paulus,78
Iphicrates,78
Iphitus,78
Irenaeus,78
Irene,78
Isaiah,78
Iscanus,78
Ishbosheth,78
Isidorus Characenus,78
Isidorus Hispalensis,78
Isidorus Pelufiota,78
Ismael Sophi,79
Isoeus,79
Isocrates,79
Juan Don,79
"Judah, Rabbi",79
Judah Hakkadosh,79
Judas Maccabaeus,79
Jugurtha,79
Julia,79
Julia Mammaea,79
Julian,79
Julian Count,79
Julio Romano,79
Julius 2nd,79
Julius Pollux,79
Justin,79
"Justin, Martyr",79
Justinian,79
Juvenal,79
Juvencus,79
Juventius Celsus,79
Kaled,79
"Keil, John",79
"Kempis, Thomas A",79
Kepler,79
Kercher,79
Khondamir,79
Kimchi,79
"King, Sir Peter",79
Kneller,80
Knighton Henry,80
"Knox, John",80
Koffa,80
Kuster,80
Labeo M. Antisthius,80
Laberius,80
Lactantius,80
Lacydes,80
Ladislaus of Napes,80
Laelius,80
Laelius,80
Lambert Schaffnaburgensis,80
Lambinus,80
Lampridius,80
Laomedon,80
"Lancaster, E. of",80
Lanfrank,80
Lanfrank,80
Lanfranco,80
Langton,80
"Lascaris, John",80
Latimer,80
Latro Portius,80
Laud,80
Lautrec,80
Le Brun,80
Le Clerc,80
Leibnitz,80
"Leicester, E.",81
"Leland, John",81
Lelex,81
Leo Armenius,81
Leo the Great,81
Leo 10th ,81
Leo de Modena,81
Leosric,81
Leonicenus N.,81
Leonidas,81
Leonitus,81
Leontius Byzantinus,81
Leontius Pilatus,81
Lepidus,81
Lesbonax,81
Leucippus,81
Levi Ben Gershom,81
Lewis the 7th of France,81
Lewis the 9th,81
Lewis the 11th,81
Lewis the 12th,81
Lewis the 14th,81
Libanius,81
Liberius,81
Licinius,81
Liewenhoek,81
Lightfoot,81
"Lilly, William",81
Limborch,81
"Linacre, Thomas",81
Linus,81
"Lippi, Filippo",81
Lipsius,81
Livia,82
Livius Andronicus,82
Livy,82
Locke,82
"Lollard, William",82
Lollius M.,82
"Lombard, Peter",82
Longinus,82
Longinus,82
Longomontannus,82
Longus,82
Lopez de Vega,82
Lorenzetti,82
Loyola Ignatius,82
Lucan,82
Lucian,82
Lucilius,82
Lucretius,82
Lucullus,82
Ludius,82
Luitprand,82
"Lully J, B",82
Lully Raymund,82
Lupus Servatus,82
"Lusigano, Guy de",82
Luther,82
Luxemburgh,82
Lyacaon,82
Lycon,82
Lycophron,82
Lycortas,82
Lycurgus,82
Lycurgus Ibid,83
Lynwood,83
Lysander,83
Lysias,83
Lysias,83
Lysymachus,83
Lysippus,83
"Lyttleton, Tho",83
Macedonius,83
Macer,83
Machiavel,83
Maclaurin,83
Macrianus,83
Macrinus,83
Macrobius,83
Maecenas,83
Magellan,83
Magnentius,83
Mago,83
Mahmud Gasni,83
Maimburgh,83
Maimonides,83
"Makin, Al",83
"Mantegna, Andrea",83
Malachi,83
Malbranche,83
Malchus,83
Malcolm 1st,83
Malcolm 3rd,83
Malek Ebn Ans,83
Malek Shah,84
Malela J.,84
Malherbe,84
Malpighi,84
Mammaea,84
Manes,84
Manetho,84
Manfred of Naples,84
Manilius,84
Manlius,84
Mantuanus,84
Manuel Phile,84
Manutius Aldus,84
Manutius Paulpus,84
Marcellinus,84
Marcellus,84
Marcellus,84
Marcellus,84
Marcellus Nonius,84
Marcellus,84
Marcianus Heracleotes,84
Marcion,84
Mardonius,84
Margaret,84
Margaret of Anjou,84
Margaritone,84
Marculfus,84
Mariana,84
marianus Scotus,84
Marius,84
Marinus Neapolitanus,84
Marlborough,84
Marot,84
Marsham,85
Martial,85
Martin St.,85
Marcellus ,85
Marcellus M,85
Mary of Scots,85
Masaccio,85
Massinello,85
Massinissa,85
Masurius Sabinus,85
Matilda,85
Matthaeus Sylvaticus,85
Matthaeus Vindocinensis,85
Mathew of Westminster,85
Maupertuis,85
Maurice of Nassau,85
Mauritius,85
"Maurolycus, Francis",85
Maternus,85
Maundeville,85
Maxentius,85
Maximian,85
Maximinus,85
Maximus the Tyrant,85
Maximus Confessor,85
Maximus ,85
Maximus Tyrius,85
Mazarine,85
Mead,85
"Mede, Joseph",85
Mela Pomponius,85
Melancthon,85
Meleager,86
Melchtal,86
Melissus,86
Memnon of Rhodes,86
Menahem,86
Menander,86
Menasseh,86
Menecrates,86
Menedemus Eretriensis,86
Menelaus,86
Menelaus,86
Mephres,86
Mercator,86
Mercator Marius,86
Merlin,86
Merula G.,86
Messabulach,86
Messala M. Valerius,86
Messalina,86
Messue,86
Metellus Numidicus,86
Metellus Tegerensis,86
Methodius,86
Meton,86
Metrocles,86
Metrodorus,86
"Meursius, John",86
Mezerai,86
Michael Ducas,86
"Middleton, Conyers",86
Miltiades,86
Milton,86
Mimnermus,87
Minos,87
Minucianus,87
Minucius Faelis,87
Mirkhond,87
Misitheus,87
Misphragmuthosis,87
Mithridates,87
Moawiah,87
Modestinus Herennius,87
Moeris,87
Moez,87
Mohammed,87
Mohammed 2nd ,87
Moliere,87
Molyneux,87
Monk,87
Montaigne,87
Montanus,87
Montesquieu,87
"Montford, Simon Senior",87
"Montford, Earl of Leicester",87
Montmorency,87
Montrose,87
"Moore, Anthony",87
Mordecai,87
"More, Thomas",87
Morhoff,87
"Morely, David",87
"Mortimer, E. of March",87
Moschopulus Senior,87
Moschus,87
"Moses, Ben Chilpeta",87
Moses Sackcloth,88
Mostancer,88
Motanabbi,88
Muca,88
Mummius,88
"Munster, Sebastian",88
Musaeus,88
Musurus,88
Myron,88
Myso,88
Nabonadius,88
Nabonaffar,88
Nachman,88
Nachmanides M.,88
Nachmanides ,88
Nadir Shah,88
Naevius,88
Nahum,88
