OBJECTID,index,cx,cy,dx,dy,newX,newY
123,a-93.6x-82.8,-93.6,-82.8,3.1252502,-0.5500992,-96.7252502,-82.2499008
124,a-90x-82.8,-90,-82.8,3.2403488,-0.556134,-93.2403488,-82.243866
125,a-86.4x-82.8,-86.4,-82.8,3.3633362,-0.5542877,-89.7633362,-82.2457123
126,a-82.8x-82.8,-82.8,-82.8,3.493602,-0.541333,-86.293602,-82.258667
127,a-79.2x-82.8,-79.2,-82.8,3.629567,-0.5138367,-82.829567,-82.2861633
128,a-75.6x-82.8,-75.6,-82.8,3.7685303,-0.4684341,-79.3685303,-82.3315659
129,a-72x-82.8,-72,-82.8,3.9058914,-0.4001968,-75.9058914,-82.3998032
130,a-68.4x-82.8,-68.4,-82.8,4.034639,-0.3072174,-72.434639,-82.4927826
131,a-64.8x-82.8,-64.8,-82.8,4.1498825,-0.1929443,-68.9498825,-82.6070557
132,a-61.2x-82.8,-61.2,-82.8,4.2472885,-0.0596588,-65.4472885,-82.7403412
133,a-57.6x-82.8,-57.6,-82.8,4.323378,0.089679,-61.923378,-82.889679
134,a-54x-82.8,-54,-82.8,4.3755455,0.251712,-58.3755455,-83.051712
135,a-50.4x-82.8,-50.4,-82.8,4.4020515,0.4228928,-54.8020515,-83.2228928
136,a-46.8x-82.8,-46.8,-82.8,4.3984138,0.5998413,-51.1984138,-83.3998413
137,a-43.2x-82.8,-43.2,-82.8,4.3660858,0.7779419,-47.5660858,-83.5779419
138,a-39.6x-82.8,-39.6,-82.8,4.3077034,0.9539978,-43.9077034,-83.7539978
139,a-36x-82.8,-36,-82.8,4.2242508,1.1255219,-40.2242508,-83.9255219
140,a-32.4x-82.8,-32.4,-82.8,4.1170021,1.2902405,-36.5170021,-84.0902405
141,a-28.8x-82.8,-28.8,-82.8,3.9874908,1.4462006,-32.7874908,-84.2462006
142,a-25.2x-82.8,-25.2,-82.8,3.8374947,1.5916931,-29.0374947,-84.3916931
143,a-21.6x-82.8,-21.6,-82.8,3.6663364,1.7230713,-25.2663364,-84.5230713
144,a-18x-82.8,-18,-82.8,3.479248,1.840625,-21.479248,-84.640625
145,a-14.4x-82.8,-14.4,-82.8,3.279163,1.9441559,-17.679163,-84.7441559
146,a-10.8x-82.8,-10.8,-82.8,3.0683729,2.0334732,-13.8683729,-84.8334732
147,a-7.2x-82.8,-7.2,-82.8,2.84914,2.1087753,-10.04914,-84.9087753
148,a-3.6x-82.8,-3.6,-82.8,2.6236643,2.1704742,-6.2236643,-84.9704742
149,a0x-82.8,0,-82.8,2.3940392,2.2188446,-2.3940392,-85.0188446
150,a3.6x-82.8,3.6,-82.8,2.162306,2.2514297,1.437694,-85.0514297
151,a7.2x-82.8,7.2,-82.8,1.9308645,2.2723953,5.2691355,-85.0723953
152,a10.8x-82.8,10.8,-82.8,1.7009733,2.2833435,9.0990267,-85.0833435
153,a14.4x-82.8,14.4,-82.8,1.4736265,2.2855179,12.9263735,-85.0855179
154,a18x-82.8,18,-82.8,1.2495766,2.2797501,16.7504234,-85.0797501
155,a21.6x-82.8,21.6,-82.8,1.0293594,2.2665741,20.5706406,-85.0665741
156,a25.2x-82.8,25.2,-82.8,0.8134987,2.2463181,24.3865013,-85.0463181
157,a28.8x-82.8,28.8,-82.8,0.6028355,2.219043,28.1971645,-85.019043
158,a32.4x-82.8,32.4,-82.8,0.3967995,2.1865036,32.0032005,-84.9865036
159,a36x-82.8,36,-82.8,0.1955833,2.1489975,35.8044167,-84.9489975
160,a39.6x-82.8,39.6,-82.8,-0.0005783,2.1066544,39.6005783,-84.9066544
161,a43.2x-82.8,43.2,-82.8,-0.1913765,2.0595047,43.3913765,-84.8595047
162,a46.8x-82.8,46.8,-82.8,-0.3764336,2.0075638,47.1764336,-84.8075638
163,a50.4x-82.8,50.4,-82.8,-0.5547691,1.9505646,50.9547691,-84.7505646
164,a54x-82.8,54,-82.8,-0.7252846,1.888446,54.7252846,-84.688446
165,a57.6x-82.8,57.6,-82.8,-0.8882393,1.8220551,58.4882393,-84.6220551
