index,cx,cy,dx,dy
a-133.2x-172.8,-133.2,-172.8,3.1E-06,0
a-129.6x-172.8,-129.6,-172.8,-6.1E-06,0
a-126x-172.8,-126,-172.8,0,0
a-122.4x-172.8,-122.4,-172.8,-1.5E-06,0
a-118.8x-172.8,-118.8,-172.8,-3.1E-06,0
a-115.2x-172.8,-115.2,-172.8,3.1E-06,0
a-111.6x-172.8,-111.6,-172.8,1.5E-06,0
a-108x-172.8,-108,-172.8,0,0
a-104.4x-172.8,-104.4,-172.8,-1.5E-06,0
a-100.8x-172.8,-100.8,-172.8,-3.1E-06,0
a-97.2x-172.8,-97.2,-172.8,3.1E-06,0
a-93.6x-172.8,-93.6,-172.8,1.5E-06,0
a-90x-172.8,-90,-172.8,0,0
a-86.4x-172.8,-86.4,-172.8,-1.5E-06,0
a-82.8x-172.8,-82.8,-172.8,-3.1E-06,0
a-79.2x-172.8,-79.2,-172.8,3.1E-06,0
a-75.6x-172.8,-75.6,-172.8,1.5E-06,0
a-72x-172.8,-72,-172.8,0,0
a-68.4x-172.8,-68.4,-172.8,-1.5E-06,0
a-64.8x-172.8,-64.8,-172.8,-3.1E-06,0
a-61.2x-172.8,-61.2,-172.8,-8E-07,0
a-57.6x-172.8,-57.6,-172.8,1.5E-06,0
a-54x-172.8,-54,-172.8,0,0
a-50.4x-172.8,-50.4,-172.8,-1.5E-06,0
a-46.8x-172.8,-46.8,-172.8,8E-07,0
a-43.2x-172.8,-43.2,-172.8,-8E-07,0
a-39.6x-172.8,-39.6,-172.8,1.5E-06,0
a-36x-172.8,-36,-172.8,0,0
a-32.4x-172.8,-32.4,-172.8,-1.5E-06,0
a-28.8x-172.8,-28.8,-172.8,8E-07,0
a-25.2x-172.8,-25.2,-172.8,-8E-07,0
a-21.6x-172.8,-21.6,-172.8,-4E-07,0
a-18x-172.8,-18,-172.8,0,0
a-14.4x-172.8,-14.4,-172.8,4E-07,0
a-10.8x-172.8,-10.8,-172.8,-2E-07,0
a-7.2x-172.8,-7.2,-172.8,2E-07,0
a-3.6x-172.8,-3.6,-172.8,1E-07,0
a0x-172.8,0,-172.8,0,0
a3.6x-172.8,3.6,-172.8,-1E-07,0
a7.2x-172.8,7.2,-172.8,-2E-07,0
a10.8x-172.8,10.8,-172.8,2E-07,0
a14.4x-172.8,14.4,-172.8,-4E-07,0
a18x-172.8,18,-172.8,0,0
a21.6x-172.8,21.6,-172.8,4E-07,0
a25.2x-172.8,25.2,-172.8,8E-07,0
a28.8x-172.8,28.8,-172.8,-8E-07,0
a32.4x-172.8,32.4,-172.8,1.5E-06,0
a36x-172.8,36,-172.8,0,0
a39.6x-172.8,39.6,-172.8,-1.5E-06,0
a43.2x-172.8,43.2,-172.8,8E-07,0
a46.8x-172.8,46.8,-172.8,-8E-07,0
a50.4x-172.8,50.4,-172.8,1.5E-06,0
a54x-172.8,54,-172.8,0,0
a57.6x-172.8,57.6,-172.8,-1.5E-06,0
a61.2x-172.8,61.2,-172.8,8E-07,0
a64.8x-172.8,64.8,-172.8,3.1E-06,0
a68.4x-172.8,68.4,-172.8,1.5E-06,0
a72x-172.8,72,-172.8,0,0
a75.6x-172.8,75.6,-172.8,-1.5E-06,0
a79.2x-172.8,79.2,-172.8,-3.1E-06,0
a82.8x-172.8,82.8,-172.8,3.1E-06,0
a86.4x-172.8,86.4,-172.8,1.5E-06,0
a90x-172.8,90,-172.8,0,0
a93.6x-172.8,93.6,-172.8,-1.5E-06,0
a97.2x-172.8,97.2,-172.8,-3.1E-06,0
a100.8x-172.8,100.8,-172.8,3.1E-06,0
a104.4x-172.8,104.4,-172.8,1.5E-06,0
a108x-172.8,108,-172.8,0,0
a111.6x-172.8,111.6,-172.8,-1.5E-06,0
a115.2x-172.8,115.2,-172.8,-3.1E-06,0
a118.8x-172.8,118.8,-172.8,3.1E-06,0
a122.4x-172.8,122.4,-172.8,1.5E-06,0
a126x-172.8,126,-172.8,0,0
a129.6x-172.8,129.6,-172.8,6.1E-06,0
a133.2x-172.8,133.2,-172.8,-3.1E-06,0
a136.8x-172.8,136.8,-172.8,3.1E-06,0
a140.4x-172.8,140.4,-172.8,-6.1E-06,0
a144x-172.8,144,-172.8,0,0
a147.6x-172.8,147.6,-172.8,6.1E-06,0
a151.2x-172.8,151.2,-172.8,-3.1E-06,0
a154.8x-172.8,154.8,-172.8,3.1E-06,0
a158.4x-172.8,158.4,-172.8,-6.1E-06,0
