index,x,y,dx,dy
a-32.4x-176.4,-32.4,-176.4,-1.797773039,0.31751837
a-28.8x-176.4,-28.8,-176.4,-1.798384464,0.262131788
a-25.2x-176.4,-25.2,-176.4,-1.79637414,0.20710704
a-21.6x-176.4,-21.6,-176.4,-1.791250043,0.153333504
a-18x-176.4,-18,-176.4,-1.782367046,0.100023283
a-14.4x-176.4,-14.4,-176.4,-1.770732467,0.047623601
a-10.8x-176.4,-10.8,-176.4,-1.755976148,-0.003997046
a-7.2x-176.4,-7.2,-176.4,-1.738209527,-0.054076412
a-3.6x-176.4,-3.6,-176.4,-1.71743072,-0.102173192
a0x-176.4,0,-176.4,-1.694212096,-0.148916197
a3.6x-176.4,3.6,-176.4,-1.667934066,-0.192772406
a7.2x-176.4,7.2,-176.4,-1.639175692,-0.236230541
a10.8x-176.4,10.8,-176.4,-1.607916667,-0.275470547
a14.4x-176.4,14.4,-176.4,-1.574847971,-0.31309061
a18x-176.4,18,-176.4,-1.538453748,-0.349092363
a21.6x-176.4,21.6,-176.4,-1.501435058,-0.382744964
a25.2x-176.4,25.2,-176.4,-1.46198499,-0.412472119
a28.8x-176.4,28.8,-176.4,-1.421322136,-0.439159885
a32.4x-176.4,32.4,-176.4,-1.37953903,-0.463323254
a36x-176.4,36,-176.4,-1.33490364,-0.485292121
a39.6x-176.4,39.6,-176.4,-1.292184262,-0.502808381
a43.2x-176.4,43.2,-176.4,-1.245905549,-0.517330025
a46.8x-176.4,46.8,-176.4,-1.201048584,-0.528828146
a50.4x-176.4,50.4,-176.4,-1.154788701,-0.537617501
a54x-176.4,54,-176.4,-1.108797172,-0.542545428
a57.6x-176.4,57.6,-176.4,-1.064098552,-0.544853916
a61.2x-176.4,61.2,-176.4,-1.017044344,-0.545082082
a64.8x-176.4,64.8,-176.4,-0.97376402,-0.541682539
a68.4x-176.4,68.4,-176.4,-0.928099283,-0.535250624
a72x-176.4,72,-176.4,-0.885335945,-0.526454823
a75.6x-176.4,75.6,-176.4,-0.84253691,-0.514716514
a79.2x-176.4,79.2,-176.4,-0.800364636,-0.500116305
a82.8x-176.4,82.8,-176.4,-0.761979243,-0.48337435
a86.4x-176.4,86.4,-176.4,-0.720784789,-0.463814519
a90x-176.4,90,-176.4,-0.686186803,-0.44294282
a93.6x-176.4,93.6,-176.4,-0.648504333,-0.419190053
a97.2x-176.4,97.2,-176.4,-0.61579057,-0.393248456
a100.8x-176.4,100.8,-176.4,-0.584310204,-0.365263364
a104.4x-176.4,104.4,-176.4,-0.553100878,-0.336712863
a108x-176.4,108,-176.4,-0.527055952,-0.305782145
a111.6x-176.4,111.6,-176.4,-0.49765574,-0.273552904
a115.2x-176.4,115.2,-176.4,-0.477028628,-0.240110691
a118.8x-176.4,118.8,-176.4,-0.451803063,-0.206090808
a122.4x-176.4,122.4,-176.4,-0.433295192,-0.170969274
a126x-176.4,126,-176.4,-0.414690324,-0.135300806
a129.6x-176.4,129.6,-176.4,-0.397943424,-0.098945091
a133.2x-176.4,133.2,-176.4,-0.385699023,-0.061637056
a136.8x-176.4,136.8,-176.4,-0.36986762,-0.024209736
a140.4x-176.4,140.4,-176.4,-0.363009689,0.013705655
a144x-176.4,144,-176.4,-0.349966758,0.05231509
a147.6x-176.4,147.6,-176.4,-0.346358719,0.091072518
a151.2x-176.4,151.2,-176.4,-0.337347114,0.130356613
a154.8x-176.4,154.8,-176.4,-0.334709538,0.1689912
a158.4x-176.4,158.4,-176.4,-0.331885052,0.207587166
