index,cx,cy,dx,dy
a39.6x32.4,69.93941584,20.79989598,30.33941584,-11.60010402
a43.2x32.4,79.69427016,26.77065428,36.49427016,-5.629345721
a46.8x32.4,86.23937578,31.10039666,39.43937578,-1.299603341
a50.4x32.4,89.2236294,33.43783891,38.8236294,1.037838912
a54x32.4,90.45769824,34.44307963,36.45769824,2.043079628
a57.6x32.4,91.31421719,34.76891928,33.71421719,2.368919283
a61.2x32.4,92.49105918,34.944781,31.29105918,2.544780996
a64.8x32.4,94.27521248,35.10534336,29.47521248,2.70534336
a68.4x32.4,96.70583117,35.12872662,28.30583117,2.728726622
a72x32.4,99.72752592,34.83992794,27.72752592,2.439927944
a75.6x32.4,103.0176401,33.95855403,27.41764008,1.558554027
a79.2x32.4,106.0590365,32.57139798,26.85903653,0.171397985
a82.8x32.4,108.8191332,30.99534251,26.01913325,-1.40465749
a86.4x32.4,111.4121,29.43572574,25.01210001,-2.964274264
a90x32.4,113.9441845,28.0380895,23.94418448,-4.361910498
a93.6x32.4,116.464944,26.88651617,22.86494399,-5.513483831
a97.2x32.4,118.9569617,26.01314821,21.7569617,-6.386851789
a100.8x32.4,121.3708647,25.47670795,20.57086475,-6.923292055
a104.4x32.4,123.7937288,25.2055526,19.39372881,-7.194447399
a108x32.4,126.2726743,25.08391343,18.27267429,-7.316086572
a111.6x32.4,128.8238928,25.03078426,17.22389277,-7.369215741
a115.2x32.4,131.4354585,25.00333681,16.23545846,-7.396663188
a118.8x32.4,134.0778753,24.99837615,15.27787528,-7.401623847
a122.4x32.4,136.7227802,25.03944407,14.32278017,-7.360555929
a126x32.4,139.3717883,25.15795947,13.37178827,-7.242040528
a129.6x32.4,142.0253064,25.31009374,12.42530638,-7.089906259
a133.2x32.4,144.6712545,25.44584531,11.47125455,-6.954154687
a136.8x32.4,147.342817,25.54532646,10.54281702,-6.854673536
a140.4x32.4,150.0717582,25.61484471,9.671758159,-6.785155286
a144x32.4,152.8684709,25.67553598,8.868470924,-6.724464024
a147.6x32.4,155.7253154,25.74090375,8.125315391,-6.659096246
a151.2x32.4,158.637008,25.80806145,7.437008008,-6.591938552
a154.8x32.4,161.5973114,25.87158687,6.797311357,-6.528413132
a158.4x32.4,164.6023072,25.92863113,6.202307201,-6.471368868
a162x32.4,167.6536303,25.97905063,5.653630267,-6.420949371
a165.6x32.4,170.7518257,26.02477517,5.151825695,-6.375224831
a169.2x32.4,173.8942567,26.06892407,4.694256724,-6.331075934
a172.8x32.4,177.0847518,26.11481497,4.284751764,-6.285185031
a176.4x32.4,180.3196371,26.16556492,3.919637133,-6.234435077
a-180x36,-181.1223368,33.39879479,-1.122336831,-2.601205215
a-176.4x36,-177.5996964,33.47661082,-1.199696356,-2.523389176
a-172.8x36,-174.0984699,33.56521709,-1.298469858,-2.434782913
a-169.2x36,-170.6195681,33.65451872,-1.419568113,-2.345481275
a-165.6x36,-167.1539301,33.73567756,-1.553930133,-2.264322437
a-162x36,-163.6856568,33.81295682,-1.685656837,-2.187043179
a-158.4x36,-160.2098874,33.89387409,-1.809887435,-2.106125909
a-154.8x36,-156.7215826,33.98690501,-1.92158263,-2.013094992
a-151.2x36,-153.2155759,34.10083974,-2.015575863,-1.899160256
a-147.6x36,-149.6910886,34.245261,-2.091088634,-1.754739001
a-144x36,-146.1320833,34.44409161,-2.132083307,-1.555908392
a-140.4x36,-142.540164,34.70602025,-2.140163984,-1.293979749
a-136.8x36,-138.8928042,35.04488782,-2.092804198,-0.955112179
a-133.2x36,-135.1765429,35.48393399,-1.976542869,-0.516066007
a-129.6x36,-131.4413406,36.04604641,-1.841340636,0.046046409
a-126x36,-127.8567925,36.72598887,-1.856792549,0.725988868
a-122.4x36,-124.7998194,37.43676942,-2.399819447,1.436769422
a-118.8x36,-122.7450475,37.91341868,-3.945047486,1.913418681
a-115.2x36,-121.3215711,38.08995123,-6.121571059,2.089951226
a-111.6x36,-120.2074453,38.01210923,-8.607445338,2.012109231
a-108x36,-119.2431616,37.79569151,-11.24316161,1.79569151
a-104.4x36,-118.3328448,37.57291681,-13.93284478,1.572916815
a-100.8x36,-117.3691576,37.42616201,-16.56915765,1.426162013
a-97.2x36,-116.1887986,37.27342543,-18.9887986,1.273425428
a-93.6x36,-114.7702734,37.02479475,-21.17027345,1.024794754
a-90x36,-113.3705185,36.74337969,-23.37051851,0.743379691
a-86.4x36,-111.9686172,36.44755932,-25.5686172,0.447559323
a-82.8x36,-110.4223563,36.08722645,-27.62235633,0.087226446
a-79.2x36,-108.5604989,35.56060119,-29.36049892,-0.439398806
a-75.6x36,-106.2751686,34.75472593,-30.67516856,-1.245274067
a-72x36,-103.6056303,33.62113219,-31.60563033,-2.378867813
a-68.4x36,-100.7840077,32.36040304,-32.38400766,-3.639596963
a-64.8x36,-98.03092928,31.16463843,-33.23092928,-4.835361568
a-61.2x36,-95.38644135,30.04557998,-34.18644135,-5.954420018
a-57.6x36,-92.83375071,28.98152126,-35.23375071,-7.018478736
a-54x36,-90.34313149,27.95634117,-36.34313149,-8.043658825
a-50.4x36,-87.90664804,26.97769023,-37.50664804,-9.022309767
a-46.8x36,-85.55843101,26.04146237,-38.75843101,-9.958537633
a-43.2x36,-83.2816753,25.08999344,-40.0816753,-10.91000656
a-39.6x36,-81.07709437,24.09429179,-41.47709437,-11.90570821
a-36x36,-78.93463569,23.03014771,-42.93463569,-12.96985229
a-32.4x36,-76.85453233,21.88507287,-44.45453233,-14.11492713
a-28.8x36,-74.84182892,20.65547861,-46.04182892,-15.34452139
a-25.2x36,-72.88732625,19.3382852,-47.68732625,-16.6617148
a-21.6x36,-70.91241409,17.89104148,-49.31241409,-18.10895852
a-18x36,-68.06941666,15.93530482,-50.06941666,-20.06469518
a-14.4x36,-62.32795785,12.93287303,-47.92795785,-23.06712697
a-10.8x36,-51.54337943,8.965329284,-40.74337943,-27.03467072
a-7.2x36,-35.82777411,4.724419697,-28.62777411,-31.2755803
a-3.6x36,-18.13121596,1.07822118,-14.53121596,-34.92177882
a0x36,-3.496684779,-1.743187259,-3.496684779,-37.74318726
a3.6x36,4.672802934,-3.740363605,1.072802934,-39.7403636
a7.2x36,9.564263203,-4.706499532,2.364263203,-40.70649953
a10.8x36,12.98278912,-4.514126719,2.182789122,-40.51412672
a14.4x36,15.87209277,-3.227612449,1.47209277,-39.22761245
a18x36,19.09576214,-0.823104827,1.095762135,-36.82310483
a21.6x36,23.69685536,2.955444579,2.096855364,-33.04455542
a25.2x36,30.58781858,8.678530139,5.387818585,-27.32146986
a28.8x36,40.78830624,16.33900849,11.98830624,-19.66099151
a32.4x36,52.47722163,24.34104507,20.07722163,-11.65895493
a36x36,64.1651474,31.5664176,28.1651474,-4.433582404
a39.6x36,74.47375262,37.16645218,34.87375262,1.166452184
a43.2x36,82.41517659,40.70468978,39.21517659,4.704689776
a46.8x36,87.56482982,42.247613,40.76482982,6.247613002
a50.4x36,89.92190365,42.40315125,39.52190365,6.40315125
a54x36,90.95045793,42.30013385,36.95045793,6.300133852
a57.6x36,91.72619763,42.46825635,34.12619763,6.468256345
a61.2x36,92.82069008,42.78089624,31.62069008,6.780896243
a64.8x36,94.46373835,43.01877602,29.66373835,7.018776018
a68.4x36,96.68067432,42.96316757,28.28067432,6.96316757
a72x36,99.42090428,42.43678252,27.42090428,6.436782519
a75.6x36,102.3825772,41.25135439,26.78257719,5.251354395
a79.2x36,105.2375833,39.57261431,26.03758325,3.57261431
a82.8x36,107.9830736,37.77301678,25.1830736,1.773016784
a86.4x36,110.6754321,36.09583526,24.27543213,0.095835257
a90x36,113.3507807,34.66813735,23.35078067,-1.331862646
a93.6x36,116.0111461,33.51511284,22.41114608,-2.484887159
a97.2x36,118.6332268,32.60657717,21.43322681,-3.393422828
a100.8x36,121.1808296,31.97418904,20.38082964,-4.025810961
a104.4x36,123.7107438,31.56677973,19.31074378,-4.433220267
a108x36,126.2538477,31.28717643,18.2538477,-4.712823567
a111.6x36,128.836965,31.06138634,17.23696499,-4.938613657
a115.2x36,131.4685347,30.85435441,16.26853475,-5.145645594
a118.8x36,134.1377156,30.67371426,15.33771564,-5.326285744
a122.4x36,136.8230727,30.55556505,14.42307267,-5.444434947
a126x36,139.5069748,30.53519503,13.50697479,-5.464804972
a129.6x36,142.1635499,30.54591428,12.56354989,-5.454085718
a133.2x36,144.7868957,30.52769027,11.58689574,-5.472309732
a136.8x36,147.432866,30.46199362,10.63286596,-5.538006382
a140.4x36,150.1506745,30.36789907,9.750674489,-5.63210093
a144x36,152.9526366,30.28511916,8.952636568,-5.714880839
a147.6x36,155.8169733,30.23990911,8.216973282,-5.760090885
a151.2x36,158.7287569,30.2272985,7.528756931,-5.772701497
a154.8x36,161.6824447,30.22168842,6.882444672,-5.778311584
a158.4x36,164.6771915,30.21168727,6.27719154,-5.788312728
a162x36,167.7186088,30.19478684,5.718608781,-5.805213157
a165.6x36,170.8099068,30.17443228,5.209906844,-5.825567721
a169.2x36,173.9488734,30.1565981,4.748873385,-5.843401903
a172.8x36,177.1387744,30.14609178,4.338774358,-5.853908224
a176.4x36,180.3754097,30.14664842,3.975409744,-5.853351582
a-180x39.6,-181.0397856,37.06113355,-1.039785606,-2.538866445
a-176.4x39.6,-177.5004139,37.15976578,-1.100413945,-2.440234216
a-172.8x39.6,-173.9921893,37.2745783,-1.192189336,-2.325421703
a-169.2x39.6,-170.5217623,37.38481826,-1.321762347,-2.215181742
a-165.6x39.6,-167.0698374,37.47042024,-1.469837369,-2.12957976
a-162x39.6,-163.6065656,37.54007578,-1.606565628,-2.059924224
a-158.4x39.6,-160.1263585,37.60605256,-1.726358529,-1.993947441
a-154.8x39.6,-156.6242674,37.6791648,-1.824267359,-1.920835197
a-151.2x39.6,-153.093909,37.76822975,-1.893909015,-1.831770252
a-147.6x39.6,-149.5340765,37.88280141,-1.934076522,-1.71719859
a-144x39.6,-145.9200091,38.04835885,-1.920009119,-1.551641146
a-140.4x39.6,-142.2659838,38.26934678,-1.865983753,-1.330653217
a-136.8x39.6,-138.5564797,38.53782554,-1.756479731,-1.062174457
a-133.2x39.6,-134.7852304,38.8384089,-1.585230393,-0.761591103
a-129.6x39.6,-131.0078858,39.15315358,-1.407885828,-0.44684642
a-126x39.6,-127.4142549,39.45487125,-1.414254885,-0.145128747
a-122.4x39.6,-124.4569733,39.6836243,-2.056973302,0.083624302
a-118.8x39.6,-122.6185958,39.72611229,-3.818595807,0.126112287
a-115.2x39.6,-121.3884049,39.62108088,-6.188404891,0.021080876
a-111.6x39.6,-120.3892883,39.39363775,-8.789288291,-0.206362254
a-108x39.6,-119.4541382,39.10478275,-11.45413817,-0.49521725
a-104.4x39.6,-118.5028611,38.81155447,-14.1028611,-0.788445532
a-100.8x39.6,-117.4620883,38.53982608,-16.66208834,-1.060173922
a-97.2x39.6,-116.2646437,38.27584189,-19.0646437,-1.324158108
a-93.6x39.6,-114.8548296,38.00025981,-21.25482964,-1.599740192
a-90x39.6,-113.4513691,37.79998693,-23.45136907,-1.800013068
a-86.4x39.6,-112.0316505,37.71200477,-25.63165046,-1.887995233
a-82.8x39.6,-110.5243997,37.71558426,-27.72439967,-1.88441574
a-79.2x39.6,-108.8149654,37.72809147,-29.61496537,-1.871908534
a-75.6x39.6,-106.7659155,37.61444532,-31.16591548,-1.985554675
a-72x39.6,-104.2913525,37.18351078,-32.29135246,-2.41648922
a-68.4x39.6,-101.5132518,36.47642062,-33.11325179,-3.123579377
a-64.8x39.6,-98.75524832,35.70845724,-33.95524832,-3.891542758
a-61.2x39.6,-96.10479465,34.93292119,-34.90479465,-4.667078813
a-57.6x39.6,-93.55310827,34.15816565,-35.95310827,-5.441834346
a-54x39.6,-91.06396277,33.39063576,-37.06396277,-6.209364239
a-50.4x39.6,-88.63775288,32.66405042,-38.23775288,-6.93594958
a-46.8x39.6,-86.34198625,31.99649189,-39.54198625,-7.603508109
a-43.2x39.6,-84.1520551,31.33325444,-40.9520551,-8.266745558
a-39.6x39.6,-82.06163593,30.65413626,-42.46163593,-8.945863745
a-36x39.6,-80.05524735,29.95656725,-44.05524735,-9.643432753
a-32.4x39.6,-78.13801161,29.25789945,-45.73801161,-10.34210055
a-28.8x39.6,-76.32370882,28.59369602,-47.52370882,-11.00630398
a-25.2x39.6,-74.60409522,28.01371396,-49.40409522,-11.58628604
a-21.6x39.6,-72.94522662,27.65068678,-51.34522662,-11.94931322
a-18x39.6,-70.51876751,27.22478449,-52.51876751,-12.37521551
a-14.4x39.6,-65.23559933,26.11985692,-50.83559933,-13.48014308
a-10.8x39.6,-54.78046647,24.03627757,-43.98046647,-15.56372243
a-7.2x39.6,-39.15381757,21.07421598,-31.95381757,-18.52578402
a-3.6x39.6,-21.27169016,17.50240596,-17.67169016,-22.09759404
a0x39.6,-6.128243677,13.24347335,-6.128243677,-26.35652665
a3.6x39.6,3.448423546,8.856816571,-0.151576454,-30.74318343
a7.2x39.6,9.80661063,5.76638416,2.60661063,-33.83361584
a10.8x39.6,14.40058383,4.680031636,3.600583833,-34.91996836
a14.4x39.6,18.36482193,6.012059309,3.964821927,-33.58794069
a18x39.6,22.91965465,10.11081855,4.919654655,-29.48918145
a21.6x39.6,29.27572431,17.10591547,7.675724309,-22.49408453
a25.2x39.6,37.90453222,26.20800897,12.70453222,-13.39199103
a28.8x39.6,48.41296397,35.4101619,19.61296397,-4.189838097
a32.4x39.6,59.12293629,43.04964101,26.72293629,3.449641012
a36x39.6,68.89436453,48.40709748,32.89436453,8.807097482
a39.6x39.6,77.00122524,51.2756807,37.40122524,11.6756807
a43.2x39.6,83.13013071,51.8878613,39.93013071,12.2878613
a46.8x39.6,87.30225189,50.84896539,40.50225189,11.24896539
a50.4x39.6,89.57947565,49.18526704,39.17947565,9.585267043
a54x39.6,90.76174825,47.98430248,36.76174825,8.384302481
a57.6x39.6,91.64494506,47.71219493,34.04494506,8.112194933
a61.2x39.6,92.77284329,47.92165423,31.57284329,8.321654229
a64.8x39.6,94.36566428,48.1735911,29.56566428,8.573591103
a68.4x39.6,96.43624122,48.16198875,28.03624122,8.561988753
a72x39.6,98.92430536,47.71916349,26.92430536,8.119163489
a75.6x39.6,101.5608566,46.71819903,25.96085656,7.118199034
a79.2x39.6,104.2303744,45.27473163,25.03037445,5.674731633
a82.8x39.6,106.9784078,43.66163033,24.17840781,4.061630335
a86.4x39.6,109.7998045,42.09178083,23.39980448,2.491780826
a90x39.6,112.6428445,40.71318554,22.64284447,1.113185538
a93.6x39.6,115.4486793,39.59327587,21.84867934,-0.006724132
a97.2x39.6,118.1973588,38.72580756,20.99735879,-0.874192443
a100.8x39.6,120.8670342,38.11387539,20.06703421,-1.486124612
a104.4x39.6,123.494184,37.68077731,19.09418399,-1.919222689
a108x39.6,126.0921569,37.33407871,18.0921569,-2.265921293
a111.6x39.6,128.7023138,37.0009018,17.10231381,-2.599098199
a115.2x39.6,131.3564467,36.65903772,16.15644673,-2.940962284
a118.8x39.6,134.0623716,36.33773634,15.26237159,-3.262263657
a122.4x39.6,136.8022789,36.09141207,14.40227887,-3.508587927
a126x39.6,139.5246958,35.95371764,13.52469584,-3.646282363
a129.6x39.6,142.177791,35.8368269,12.577791,-3.763173096
a133.2x39.6,144.7676996,35.6647435,11.56769964,-3.935256499
a136.8x39.6,147.3845877,35.41756288,10.58458765,-4.18243712
a140.4x39.6,150.1019752,35.1336287,9.7019752,-4.466371298
a144x39.6,152.9322463,34.88512325,8.932246256,-4.714876748
a147.6x39.6,155.8310507,34.72280572,8.231050709,-4.87719428
a151.2x39.6,158.7581823,34.64053957,7.558182325,-4.959460431
a154.8x39.6,161.7096328,34.57671455,6.909632816,-5.02328545
a158.4x39.6,164.6925406,34.50388305,6.292540581,-5.096116947
a162x39.6,167.7231756,34.41745295,5.72317555,-5.182547053
a165.6x39.6,170.8103443,34.32627724,5.210344344,-5.273722756
a169.2x39.6,173.950174,34.24282402,4.750173987,-5.357175977
a172.8x39.6,177.1446137,34.17329231,4.344613685,-5.426707686
a176.4x39.6,180.3873503,34.12115631,3.987350261,-5.478843686
a-180x43.2,-180.9364461,40.70166566,-0.936446124,-2.498334341
a-176.4x43.2,-177.3711197,40.8231836,-0.971119749,-2.376816396
a-172.8x43.2,-173.8517271,40.9712766,-1.051727119,-2.228723398
a-169.2x43.2,-170.4018273,41.1098856,-1.201827341,-2.0901144
a-165.6x43.2,-166.9809093,41.19965064,-1.380909281,-2.000349356
a-162x43.2,-163.5321361,41.2576715,-1.532136103,-1.942328497
a-158.4x43.2,-160.0522182,41.30318874,-1.652218207,-1.896811256
a-154.8x43.2,-156.5399116,41.34870633,-1.739911559,-1.851293671
a-151.2x43.2,-152.987856,41.40087496,-1.787856014,-1.799125045
a-147.6x43.2,-149.3922145,41.46865917,-1.792214464,-1.731340829
a-144x43.2,-145.7127405,41.58349215,-1.712740483,-1.616507851
a-140.4x43.2,-141.9912457,41.7516932,-1.591245714,-1.448306796
a-136.8x43.2,-138.2465025,41.93805465,-1.446502549,-1.261945352
a-133.2x43.2,-134.4924135,42.07685253,-1.292413485,-1.123147467
a-129.6x43.2,-130.7803713,42.10213499,-1.180371305,-1.097865013
a-126x43.2,-127.2832661,41.97290213,-1.283266051,-1.227097869
a-122.4x43.2,-124.4620834,41.69382784,-2.062083439,-1.506172162
a-118.8x43.2,-122.751301,41.35151406,-3.951300967,-1.84848594
a-115.2x43.2,-121.6119454,41.02523445,-6.411945424,-2.17476555
a-111.6x43.2,-120.6498903,40.68491371,-9.049890295,-2.515086286
a-108x43.2,-119.7144263,40.32905123,-11.71442632,-2.870948766
a-104.4x43.2,-118.7330374,39.95291355,-14.33303745,-3.247086453
a-100.8x43.2,-117.6295761,39.54511213,-16.82957606,-3.654887874
a-97.2x43.2,-116.4108753,39.1492279,-19.21087534,-4.050772104
a-93.6x43.2,-114.9466349,38.79160894,-21.34663494,-4.408391058
a-90x43.2,-113.444165,38.59328224,-23.444165,-4.606717761
a-86.4x43.2,-111.892806,38.61656993,-25.49280597,-4.583430066
a-82.8x43.2,-110.308858,38.85422381,-27.50885799,-4.34577619
a-79.2x43.2,-108.6518072,39.23170396,-29.45180724,-3.968296039
a-75.6x43.2,-106.7794119,39.62062066,-31.17941192,-3.579379336
a-72x43.2,-104.5748143,39.83850069,-32.57481433,-3.361499308
a-68.4x43.2,-101.9203094,39.76381673,-33.52030938,-3.436183272
a-64.8x43.2,-99.20202999,39.52562262,-34.40202999,-3.674377377
a-61.2x43.2,-96.56085598,39.21234656,-35.36085598,-3.987653441
a-57.6x43.2,-94.01014768,38.87024228,-36.41014768,-4.329757724
a-54x43.2,-91.51464278,38.5228508,-37.51464278,-4.677149198
a-50.4x43.2,-89.07711726,38.19719491,-38.67711726,-5.002805094
a-46.8x43.2,-86.80676902,37.8994375,-40.00676902,-5.300562496
a-43.2x43.2,-84.66224449,37.58168924,-41.46224449,-5.618310758
a-39.6x43.2,-82.63613464,37.24814289,-43.03613464,-5.951857107
