index,cx,cy,dx,dy,newX,newY
a-169.2x-172.8,-169.2,-172.8,-180,0,-169.1999969,-172.8
a-165.6x-172.8,-165.6,-172.8,-180,0,-165.6000061,-172.8
a-162x-172.8,-162,-172.8,-180,0,-162,-172.8
a-158.4x-172.8,-158.4,-172.8,-180,0,-158.3999939,-172.8
a-154.8x-172.8,-154.8,-172.8,-180,0,-154.8000031,-172.8
a-151.2x-172.8,-151.2,-172.8,-180,0,-151.1999969,-172.8
a-147.6x-172.8,-147.6,-172.8,-180,0,-147.6000061,-172.8
a-144x-172.8,-144,-172.8,-180,0,-144,-172.8
a-140.4x-172.8,-140.4,-172.8,-180,0,-140.3999939,-172.8
a-136.8x-172.8,-136.8,-172.8,-180,0,-136.8000031,-172.8
a-133.2x-172.8,-133.2,-172.8,-180,0,-133.1999969,-172.8
a-129.6x-172.8,-129.6,-172.8,-180,0,-129.6000061,-172.8
a-126x-172.8,-126,-172.8,-180,0,-126,-172.8
a-122.4x-172.8,-122.4,-172.8,-180,0,-122.4000015,-172.8
a-118.8x-172.8,-118.8,-172.8,-180,0,-118.8000031,-172.8
a-115.2x-172.8,-115.2,-172.8,-180,0,-115.1999969,-172.8
a-111.6x-172.8,-111.6,-172.8,-180,0,-111.5999985,-172.8
a-108x-172.8,-108,-172.8,-180,0,-108,-172.8
a-104.4x-172.8,-104.4,-172.8,-180,0,-104.4000015,-172.8
a-100.8x-172.8,-100.8,-172.8,-180,0,-100.8000031,-172.8
a-97.2x-172.8,-97.2,-172.8,-180,0,-97.1999969,-172.8
a-93.6x-172.8,-93.6,-172.8,-180,0,-93.5999985,-172.8
a-90x-172.8,-90,-172.8,-180,0,-90,-172.8
a-86.4x-172.8,-86.4,-172.8,-180,0,-86.4000015,-172.8
a-82.8x-172.8,-82.8,-172.8,-180,0,-82.8000031,-172.8
a-79.2x-172.8,-79.2,-172.8,-180,0,-79.1999969,-172.8
a-75.6x-172.8,-75.6,-172.8,-180,0,-75.5999985,-172.8
a-72x-172.8,-72,-172.8,-180,0,-72,-172.8
a-68.4x-172.8,-68.4,-172.8,-180,0,-68.4000015,-172.8
a-64.8x-172.8,-64.8,-172.8,-180,0,-64.8000031,-172.8
a-61.2x-172.8,-61.2,-172.8,-180,0,-61.2000008,-172.8
a-57.6x-172.8,-57.6,-172.8,-180,0,-57.5999985,-172.8
a-54x-172.8,-54,-172.8,-180,0,-54,-172.8
a-50.4x-172.8,-50.4,-172.8,-180,0,-50.4000015,-172.8
a-46.8x-172.8,-46.8,-172.8,-180,0,-46.7999992,-172.8
a-43.2x-172.8,-43.2,-172.8,-180,0,-43.2000008,-172.8
a-39.6x-172.8,-39.6,-172.8,-180,0,-39.5999985,-172.8
a-36x-172.8,-36,-172.8,-180,0,-36,-172.8
a-32.4x-172.8,-32.4,-172.8,-180,0,-32.4000015,-172.8
a-28.8x-172.8,-28.8,-172.8,-180,0,-28.7999992,-172.8
a-25.2x-172.8,-25.2,-172.8,-180,0,-25.2000008,-172.8
a-21.6x-172.8,-21.6,-172.8,-180,0,-21.6000004,-172.8
a-18x-172.8,-18,-172.8,-180,0,-18,-172.8
a-14.4x-172.8,-14.4,-172.8,-180,0,-14.3999996,-172.8
a-10.8x-172.8,-10.8,-172.8,-180,0,-10.8000002,-172.8
