OBJECTID,index,x,y,newX,newY
3125,a-93.6x-68.4,-93.599999999999994,-68.400000000000006,-107.1718369,-91.763063633085153
3126,a-90x-68.4,-90.000000000000000,-68.400000000000006,-104.3741684,-91.948899339625939
3127,a-86.4x-68.4,-86.400000000000006,-68.400000000000006,-101.7025375,-92.120380748114826
3128,a-82.8x-68.4,-82.799999999999997,-68.400000000000006,-99.1999283,-92.257669684525240
3129,a-79.2x-68.4,-79.200000000000003,-68.400000000000006,-96.8748093,-92.330563302236385
3130,a-75.6x-68.4,-75.599999999999994,-68.400000000000006,-94.4075317,-92.325294127369716
3131,a-72x-68.4,-72.000000000000000,-68.400000000000006,-91.5767441,-92.310599826963937
3132,a-68.4x-68.4,-68.400000000000006,-68.400000000000006,-88.3779602,-92.348816544663634
3133,a-64.8x-68.4,-64.799999999999997,-68.400000000000006,-84.8251190,-92.466277785067007
3134,a-61.2x-68.4,-61.200000000000003,-68.400000000000006,-81.2391891,-92.719615666252821
3135,a-57.6x-68.4,-57.600000000000001,-68.400000000000006,-77.5737305,-93.164465557287940
3136,a-54x-68.4,-54.000000000000000,-68.400000000000006,-73.5827332,-93.877012476059576
3137,a-50.4x-68.4,-50.399999999999999,-68.400000000000006,-69.0102539,-94.865441976245222
3138,a-46.8x-68.4,-46.799999999999997,-68.400000000000006,-63.8743706,-96.017141810683370
3139,a-43.2x-68.4,-43.200000000000003,-68.400000000000006,-58.3478470,-97.207939325523512
3140,a-39.6x-68.4,-39.600000000000001,-68.400000000000006,-52.5652313,-98.226820511972562
3141,a-36x-68.4,-36.000000000000000,-68.400000000000006,-46.7372742,-99.069989644810221
3142,a-32.4x-68.4,-32.399999999999999,-68.400000000000006,-41.2661819,-99.658427558041524
3143,a-28.8x-68.4,-28.800000000000001,-68.400000000000006,-36.3792496,-99.992019042600134
3144,a-25.2x-68.4,-25.199999999999999,-68.400000000000006,-31.9423447,-100.192772461207480
3145,a-21.6x-68.4,-21.600000000000001,-68.400000000000006,-27.6364384,-100.426168697214960
3146,a-18x-68.4,-18.000000000000000,-68.400000000000006,-23.1958790,-100.670720393414630
3147,a-14.4x-68.4,-14.400000000000000,-68.400000000000006,-18.7580471,-100.877147708267900
3148,a-10.8x-68.4,-10.800000000000001,-68.400000000000006,-14.5458384,-101.040959759423520
3149,a-7.2x-68.4,-7.200000000000000,-68.400000000000006,-10.5642042,-101.181577067703420
3150,a-3.6x-68.4,-3.600000000000000,-68.400000000000006,-6.6279507,-101.318764113004650
3151,a0x-68.4,0.000000000000000,-68.400000000000006,-2.5636225,-101.457348432805420
3152,a3.6x-68.4,3.600000000000000,-68.400000000000006,1.6829045,-101.585760467274840
3153,a7.2x-68.4,7.200000000000000,-68.400000000000006,6.0793905,-101.695173982898040
3154,a10.8x-68.4,10.800000000000001,-68.400000000000006,10.6132736,-101.776272530787760
3155,a14.4x-68.4,14.400000000000000,-68.400000000000006,15.2677670,-101.827082802730790
3156,a18x-68.4,18.000000000000000,-68.400000000000006,20.0323143,-101.845141804725020
3157,a21.6x-68.4,21.600000000000001,-68.400000000000006,24.9015961,-101.803293856910730
3158,a25.2x-68.4,25.199999999999999,-68.400000000000006,29.8719025,-101.691992565045500
3159,a28.8x-68.4,28.800000000000001,-68.400000000000006,34.9516144,-101.504899137334860
3160,a32.4x-68.4,32.399999999999999,-68.400000000000006,40.0743484,-101.248773164636650
3161,a36x-68.4,36.000000000000000,-68.400000000000006,45.0712967,-100.946718932000640
3162,a39.6x-68.4,39.600000000000001,-68.400000000000006,49.7115631,-100.637375987060580
3163,a43.2x-68.4,43.200000000000003,-68.400000000000006,53.8677597,-100.346700258287340
3164,a46.8x-68.4,46.799999999999997,-68.400000000000006,57.5770149,-100.066958832880520
3165,a50.4x-68.4,50.399999999999999,-68.400000000000006,61.0712624,-99.764251239222858
3166,a54x-68.4,54.000000000000000,-68.400000000000006,64.5821381,-99.422028535508332
3167,a57.6x-68.4,57.600000000000001,-68.400000000000006,68.1410294,-99.051229459800766
3168,a61.2x-68.4,61.200000000000003,-68.400000000000006,71.7466660,-98.707004091311546
