index,cx,cy,dx,dy,newX,newY
a-3.6x-176.4,-3.6,-176.4,1E-07,9.9476E-13,-3.5999999,-176.4
a0x-176.4,0,-176.4,0,9.9476E-13,0,-176.4
a3.6x-176.4,3.6,-176.4,-1E-07,9.9476E-13,3.5999999,-176.4
a7.2x-176.4,7.2,-176.4,-2E-07,9.9476E-13,7.1999998,-176.4
a10.8x-176.4,10.8,-176.4,2E-07,9.9476E-13,10.8000002,-176.4
a14.4x-176.4,14.4,-176.4,-4E-07,9.9476E-13,14.3999996,-176.4
a18x-176.4,18,-176.4,0,9.9476E-13,18,-176.4
a21.6x-176.4,21.6,-176.4,4E-07,9.9476E-13,21.6000004,-176.4
a25.2x-176.4,25.2,-176.4,8E-07,9.9476E-13,25.2000008,-176.4
a28.8x-176.4,28.8,-176.4,-8E-07,9.9476E-13,28.7999992,-176.4
a32.4x-176.4,32.4,-176.4,1.5E-06,9.9476E-13,32.4000015,-176.4
a36x-176.4,36,-176.4,0,9.9476E-13,36,-176.4
a39.6x-176.4,39.6,-176.4,-1.5E-06,9.9476E-13,39.5999985,-176.4
a43.2x-176.4,43.2,-176.4,8E-07,9.9476E-13,43.2000008,-176.4
a46.8x-176.4,46.8,-176.4,-8E-07,9.9476E-13,46.7999992,-176.4
a50.4x-176.4,50.4,-176.4,1.5E-06,9.9476E-13,50.4000015,-176.4
a54x-176.4,54,-176.4,0,9.9476E-13,54,-176.4
a57.6x-176.4,57.6,-176.4,-1.5E-06,9.9476E-13,57.5999985,-176.4
a61.2x-176.4,61.2,-176.4,8E-07,9.9476E-13,61.2000008,-176.4
a64.8x-176.4,64.8,-176.4,3.1E-06,9.9476E-13,64.8000031,-176.4
a68.4x-176.4,68.4,-176.4,1.5E-06,9.9476E-13,68.4000015,-176.4
a72x-176.4,72,-176.4,0,9.9476E-13,72,-176.4
a75.6x-176.4,75.6,-176.4,-1.5E-06,9.9476E-13,75.5999985,-176.4
a79.2x-176.4,79.2,-176.4,-3.1E-06,9.9476E-13,79.1999969,-176.4
a82.8x-176.4,82.8,-176.4,3.1E-06,9.9476E-13,82.8000031,-176.4
a86.4x-176.4,86.4,-176.4,1.5E-06,9.9476E-13,86.4000015,-176.4
a90x-176.4,90,-176.4,0,9.9476E-13,90,-176.4
a93.6x-176.4,93.6,-176.4,-1.5E-06,9.9476E-13,93.5999985,-176.4
a97.2x-176.4,97.2,-176.4,-3.1E-06,9.9476E-13,97.1999969,-176.4
a100.8x-176.4,100.8,-176.4,3.1E-06,9.9476E-13,100.8000031,-176.4
a104.4x-176.4,104.4,-176.4,1.5E-06,9.9476E-13,104.4000015,-176.4
a108x-176.4,108,-176.4,0,9.9476E-13,108,-176.4
a111.6x-176.4,111.6,-176.4,-1.5E-06,9.9476E-13,111.5999985,-176.4
a115.2x-176.4,115.2,-176.4,-3.1E-06,9.9476E-13,115.1999969,-176.4
a118.8x-176.4,118.8,-176.4,3.1E-06,9.9476E-13,118.8000031,-176.4
a122.4x-176.4,122.4,-176.4,1.5E-06,9.9476E-13,122.4000015,-176.4
a126x-176.4,126,-176.4,0,9.9476E-13,126,-176.4
a129.6x-176.4,129.6,-176.4,6.1E-06,9.9476E-13,129.6000061,-176.4
a133.2x-176.4,133.2,-176.4,-3.1E-06,9.9476E-13,133.1999969,-176.4
a136.8x-176.4,136.8,-176.4,3.1E-06,9.9476E-13,136.8000031,-176.4
a140.4x-176.4,140.4,-176.4,-6.1E-06,9.9476E-13,140.3999939,-176.4
a144x-176.4,144,-176.4,0,9.9476E-13,144,-176.4
a147.6x-176.4,147.6,-176.4,6.1E-06,9.9476E-13,147.6000061,-176.4
a151.2x-176.4,151.2,-176.4,-3.1E-06,9.9476E-13,151.1999969,-176.4
a154.8x-176.4,154.8,-176.4,3.1E-06,9.9476E-13,154.8000031,-176.4
a158.4x-176.4,158.4,-176.4,-6.1E-06,9.9476E-13,158.3999939,-176.4
a162x-176.4,162,-176.4,0,9.9476E-13,162,-176.4
a165.6x-176.4,165.6,-176.4,6.1E-06,9.9476E-13,165.6000061,-176.4
a169.2x-176.4,169.2,-176.4,-3.1E-06,9.9476E-13,169.1999969,-176.4
a172.8x-176.4,172.8,-176.4,3.1E-06,9.9476E-13,172.8000031,-176.4
a176.4x-176.4,176.4,-176.4,-6.1E-06,9.9476E-13,176.3999939,-176.4
a-180x-172.8,-180,-172.8,0,0,-180,-172.8
a-176.4x-172.8,-176.4,-172.8,6.1E-06,0,-176.3999939,-172.8
a-172.8x-172.8,-172.8,-172.8,-3.1E-06,0,-172.8000031,-172.8
a-169.2x-172.8,-169.2,-172.8,3.1E-06,0,-169.1999969,-172.8
a-165.6x-172.8,-165.6,-172.8,-6.1E-06,0,-165.6000061,-172.8
a-162x-172.8,-162,-172.8,0,0,-162,-172.8
a-158.4x-172.8,-158.4,-172.8,6.1E-06,0,-158.3999939,-172.8
a-154.8x-172.8,-154.8,-172.8,-3.1E-06,0,-154.8000031,-172.8
