UO_ID,NameInIndex,case,DeathPrecision,DeathDate,BornPrecision,BirthDate,Alive precision,AliveDate,LifeLength Precision,LifeLength,aproxBirthDate,aproxDeathDate,Index Category 1,NameOnChart,OnChartCategory,On Chart: Line #,Section starting Line,LineNumber,FullTextPageNum,WikiLink,Alternate Link,Region_final,Sex or gender V2,country,continent
90,Al Mansur,case1,d.,775,,,,,,63,712,775,,Almansur,Statesmen and Warriors,7,126,133,44,https://en.wikipedia.org/wiki/Al-Mansur,,BLANK 2,male,Jordan,Asia
91,Al Mochtar,case1,d.,689,,,,,,66,623,689,,Al Mochtar,Statesmen and Warriors,9,126,135,44,https://en.wikipedia.org/wiki/Mukhtar_al-Thaqafi,,,male,Saudi Arabia,Asia
92,Alain,,,,b.,1386,,,,,1386,,H,Alain,Historians and Antiquaries Lawyers,10,0,10,42,https://en.wikipedia.org/wiki/Alain_Chartier,,France,male,France,Europe
93,Alakis,case2,d.,694,,,,,,,649,694,,Alakis,Statesmen and Warriors,21,126,147,42,https://en.wikipedia.org/wiki/Alahis,,Italy,male,Italy,Europe
94,Alamund,case1,d.,1450,,,,,,60,1390,1450,D,Alamund,Divines and Metaphysicians &cc,6,98,104,43,https://en.wikipedia.org/wiki/Louis_Aleman,,France,male,France,Europe
95,Alanus de Insulis,case2,d.,1182,,,,,,,1137,1182,D,Alanus,Divines and Metaphysicians &cc,17,98,115,43,https://en.wikipedia.org/wiki/Alain_de_Lille,,France,male,France,Europe
96,Alaric the Goth,case2,d.,410,,,,,,,365,410,,Alaric,Statesmen and Warriors,21,126,147,43,https://en.wikipedia.org/wiki/Alaric_I,,Turky in Europe,male,Romania,Europe
97,Alban St.,case2,d.,303,,,,,,,258,303,F,St. Alban,Divines and Metaphysicians &cc,10,98,108,43,https://en.wikipedia.org/wiki/Saint_Alban,,Great Britain,male,United Kingdom,Europe
98,Albani,case1,d.,1660,,,,,,82,1578,1660,Pa,Albani,Artists Poets,22,42,64,43,https://en.wikipedia.org/wiki/Francesco_Albani,,Italy,male,Italy,Europe
99,Albategni,case2,d.,928,,,,,,,883,928,M,Albategni,Mathematicians &cc Physicians,16,68,84,43,https://en.wikipedia.org/wiki/Al-Battani,,Persia,male,Turkey,Asia|Europe
