UO_ID,NameInIndex,case,DeathPrecision,DeathDate,BornPrecision,BirthDate,Alive precision,AliveDate,LifeLength Precision,LifeLength,aproxBirthDate,aproxDeathDate,Index Category 1,NameOnChart,OnChartCategory,On Chart: Line #,Section starting Line,LineNumber,FullTextPageNum,WikiLink,Alternate Link,Region_final,Sex or gender V2,country,continent
1502,Margaret,case1,d.,1412,,,,,,58,1354,1412,,Margaret,Statesmen and Warriors,8,126,134,84,https://en.wikipedia.org/wiki/Margaret_I_of_Denmark,,Northern Crowns,female,Denmark,Europe|North America
1503,Margaret of Anjou,case2,d.,1482,,,,,,,1437,1482,,Margaret,Statesmen and Warriors,24,126,150,84,https://en.wikipedia.org/wiki/Margaret_of_Anjou,,France,female,France,Europe
1504,Margaritone,"case3
",,,,,fl.,1270,,,1247,1293,Pa,Margaritone,Artists Poets,17,42,59,84,https://en.wikipedia.org/wiki/Margaritone_d%27Arezzo,,Italy,male,Italy,Europe
1505,Mariana,case1,d.,1624,,,,,,87,1537,1624,H,,Historians and Antiquaries Lawyers,14,0,14,84,https://en.wikipedia.org/wiki/Juan_de_Mariana,,Spain,male,Spain,Europe
1506,Marianus Scotus,case2,d.,1086,,,,,,,1041,1086,H,Marianus Sc:,Historians and Antiquaries Lawyers,10,0,10,84,https://en.wikipedia.org/wiki/Marianus_Scotus,,Great Britain,male,Ireland,Europe
1507,Marinus Neapolitanus,"case3
",,,,,fl.,500,,,477,523,HP,Marinus,Divines and Metaphysicians &cc,22,98,120,84,https://en.wikipedia.org/wiki/Marinus_of_Neapolis,,Turky in Asia,male,State of Palestine,Asia
1508,Marius,case1,d.,-86,,,,,,70,-156,-86,,Marius,Statesmen and Warriors,21,126,147,84,https://en.wikipedia.org/wiki/Gaius_Marius,,Italy,male,Italy,Europe
1509,Marlborough,case1,d.,1722,,,,,,73,1649,1722,,Marlborough,Statesmen and Warriors,14,126,140,84,"https://en.wikipedia.org/wiki/John_Churchill,_1st_Duke_of_Marlborough",,Great Britain,male,United Kingdom,Europe
1510,Marot,case1,d.,1544,,,,,,60,1484,1544,P,Marot,Artists Poets,11,42,53,84,https://en.wikipedia.org/wiki/Cl%C3%A9ment_Marot,,France,male,France,Europe
1511,Marsham,case1,d.,1685,,,,,,83,1602,1685,Ch,Marsham,Historians and Antiquaries Lawyers,11,0,11,85,"https://en.wikipedia.org/wiki/Sir_John_Marsham,_1st_Baronet",,Great Britain,male,United Kingdom,Europe
1512,Martial,case1,d.,104,,,,,,75,29,104,P,Martial,Artists Poets,9,42,51,85,https://en.wikipedia.org/wiki/Martial,,Spain,missing from OpenRefine results,Spain,Europe
1513,Martin St.,case2,d. ab.,402,,,,,,,357,402,F,St. Martin,Divines and Metaphysicians &cc,27,98,125,85,https://en.wikipedia.org/wiki/Martin_of_Tours,,Germany,male,Hungary,Europe
1514,Mary of Scots,case1,d.,1587,,,,,,45,1542,1587,,Mary Sc.,Statesmen and Warriors,27,126,153,85,"https://en.wikipedia.org/wiki/Mary,_Queen_of_Scots",,Great Britain,female,United Kingdom,Europe
1515,Masaccio,case1,d.,1443,,,,,,22,1421,1443,Pa,Masaccio,Artists Poets,24,42,66,85,https://en.wikipedia.org/wiki/Masaccio,,Italy,missing from OpenRefine results,Italy,Europe
1516,Masclef,case1,d.,1728,,,,,,66,1662,1728,Cr,Masclef,Orators and Critics &cc,4,22,26,54,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Masclef,,France,male,France,Europe
1517,Massinello,case2,d.,1647,,,,,,,1602,1647,,,,,,0,85,https://en.wikipedia.org/wiki/Masaniello,,Italy,male,Italy,Europe
1518,Massinissa,case6,d. ab.,-149,,,,,,97,52,149,,Massinissa,Statesmen and Warriors,25,126,151,85,https://en.wikipedia.org/wiki/Masinissa,,Africa,male,Unknown,Unknown
1519,Masurius Sabinus,"case3
",,,,,fl.,25,,,2,48,L,M. Sabinus,Historians and Antiquaries Lawyers,2,0,2,85,https://en.wikipedia.org/wiki/Masurius_Sabinus,,Italy,male,Unknown,Unknown
1520,Maternus,case2,d.,187,,,,,,,142,187,,Maternus,Statesmen and Warriors,12,126,138,85,https://en.wikipedia.org/wiki/Maternus_(rebel),,,missing from OpenRefine results,Unknown,Unknown
1521,Mathew of Westminster,"case3
",,,,,fl.,1378,,,1355,1401,H,Mat: West:,Historians and Antiquaries Lawyers,18,0,18,85,https://en.wikipedia.org/wiki/Matthew_of_Westminster,,,male,Unknown,Unknown
1522,Matilda,case1,d.,1167,,,,,,67,1100,1167,,Matilda,Statesmen and Warriors,25,126,151,85,https://en.wikipedia.org/wiki/Empress_Matilda,,Great Britain,female,United Kingdom,Europe
1523,Matthaeus Sylvaticus,"case3
",,,,,fl.,1297,,,1274,1320,Ph,Matthaeus S.,Mathematicians &cc Physicians,6,68,74,85,https://en.wikipedia.org/wiki/Matthaeus_Silvaticus,,Italy,male,Italy,Europe
1524,Matthaeus Vindocinensis,"case3
",,,,,fl.,1200,,,1177,1223,P,Matthaeus V.,Artists Poets,7,42,49,85,https://en.wikipedia.org/wiki/Matthew_of_Vend%C3%B4me,,France,male,Unknown,Unknown
1525,Maundeville,case2,d.,1372,,,,,,,1327,1372,Trav,Maundeville,Historians and Antiquaries Lawyers,14,0,14,85,https://en.wikipedia.org/wiki/John_Mandeville,,Great Britain,male,United Kingdom,Europe
1526,Maupertuis,case2,d.,1762,,,,,,,1717,1762,M,Mauperluis,Mathematicians &cc Physicians,12,68,80,85,https://en.wikipedia.org/wiki/Pierre_Louis_Maupertuis,,France,male,France,Europe
1527,Maurice of Nassau,case2,d.,1625,,,,,,,1580,1625,,Maurice N.,Statesmen and Warriors,6,126,132,85,"https://en.wikipedia.org/wiki/Maurice,_Prince_of_Orange",,Germany,male,Germany,Europe
1528,Mauritius,case1,d.,602,,,,,,60,542,602,,Mauritius,Statesmen and Warriors,14,126,140,85,https://en.wikipedia.org/wiki/Maurice_(emperor),,Turky,male,Unknown,Unknown
1529,"Maurolycus, Francis","case3
",,,,,fl.,1400,,,1377,1423,M,Maurolycus,Mathematicians &cc Physicians,27,68,95,85,https://en.wikipedia.org/wiki/Francesco_Maurolico,,Italy,male,Italy,Europe
1530,Maxentius,case2,d.,313,,,,,,,268,313,,Maxentius,Statesmen and Warriors,14,126,140,85,https://en.wikipedia.org/wiki/Maxentius,,Italy,missing from OpenRefine results,Unknown,Unknown
1531,Maximian,case2,d.,313,,,,,,,268,313,,Maximian,Statesmen and Warriors,6,126,132,85,https://en.wikipedia.org/wiki/Maximian,,Germany,missing from OpenRefine results,Serbia,Europe
1532,Maximinus,case2,d.,236,,,,,,,191,236,,Maximin,Statesmen and Warriors,9,126,135,85,https://en.wikipedia.org/wiki/Maximinus_Thrax,,Turky in Europe,male,Bulgaria|Greece|Turkey,Europe|Europe|Asia|Europe
1533,Maximus,"case3
",,,,,fl.,330,,,307,353,HP,Maximus,Divines and Metaphysicians &cc,26,98,124,85,https://en.wikipedia.org/wiki/Maximus_of_Ephesus,,,male,Turkey,Asia|Europe
1534,Maximus Confessor,case1,d.,662,,,,,,82,580,662,F,Maximus Con:,Divines and Metaphysicians &cc,9,98,107,85,https://en.wikipedia.org/wiki/Maximus_the_Confessor,,Turky in Asia,male,Unknown,Unknown
1535,Maximus the Tyrant,case2,d.,388,,,,,,,343,388,,Maximus,Statesmen and Warriors,24,126,150,85,https://en.wikipedia.org/wiki/Maximus_of_Hispania,,Italy,male,Unknown,Unknown
1536,Maximus Tyrius,case2,d. ab.,180,,,,,,,135,180,HP,Max: Tyrius,Divines and Metaphysicians &cc,22,98,120,85,https://en.wikipedia.org/wiki/Maximus_of_Tyre,,,male,Lebanon,Asia
1537,Mazarine,case1,d.,1661,,,,,,59,1602,1661,,Mazarine,Statesmen and Warriors,17,126,143,85,https://en.wikipedia.org/wiki/Cardinal_Mazarin,,Italy,male,Italy,Europe
1538,Mead,case1,d.,1754,,,,,,81,1673,1754,Ph,Mead,Mathematicians &cc Physicians,2,68,70,85,https://en.wikipedia.org/wiki/Richard_Mead,,Great Britain,male,United Kingdom,Europe
1539,"Mede, Joseph",case1,d.,1638,,,,,,52,1586,1638,D,J. Mede,Divines and Metaphysicians &cc,10,98,108,85,https://en.wikipedia.org/wiki/Joseph_Mede,,Great Britain,male,Unknown,Unknown
1540,Mela Pomponius,"case3
",,,,,fl.,45,,,22,68,Geo,Pom: Mela,Historians and Antiquaries Lawyers,14,0,14,85,https://en.wikipedia.org/wiki/Pomponius_Mela,,Spain,male,Spain,Europe
1541,Melancthon,case1,d.,1560,,,,,,64,1496,1560,D,Melancthon,Divines and Metaphysicians &cc,8,98,106,85,https://en.wikipedia.org/wiki/Philip_Melanchthon,,Germany,male,Germany,Europe
1542,Melchtal,"case3
",,,,,fl.,1308,,,1285,1331,,Melchtal,Statesmen and Warriors,7,126,133,86,https://en.wikipedia.org/wiki/Arnold_von_Melchtal,,BLANK 3,male,Unknown,Unknown
1543,Meleager,"case3
",,,,,fl.,-954,,,-977,-931,,,,,,0,86,https://en.wikipedia.org/wiki/Meleager,,,male,Unknown,Unknown
1544,Melissus,"case3
",,,,,fl.,-443,,,-466,-420,HP Eleat,Melissus,Divines and Metaphysicians &cc,7,98,105,86,https://en.wikipedia.org/wiki/Melissus_of_Samos,,,male,Greece,Europe
1545,Memnon of Rhodes,case2,d.,-333,,,,,,,-378,-333,,Memnon R.,Statesmen and Warriors,22,126,148,86,https://en.wikipedia.org/wiki/Memnon_of_Rhodes,,Turky in Europe,male,Greece,Europe
1546,Menahem,case2,d.,-761,,,,,,,-806,-761,,Menahem,Statesmen and Warriors,15,126,141,86,https://en.wikipedia.org/wiki/Menahem,,,male,Unknown,Unknown
1547,Menander,case1,d.,-293,,,,,,52,-345,-293,P,Menander,Artists Poets,9,42,51,86,https://en.wikipedia.org/wiki/Menander,,Turky in Europe,missing from OpenRefine results,Classical Athens,Europe
1548,Menasseh,case2,d.,-642,,,,,,,-687,-642,,Menassey,Statesmen and Warriors,12,126,138,86,https://en.wikipedia.org/wiki/Manasseh_of_Judah,,Turky in Asia,male,Unknown,Unknown
1549,Menechmus,case13,,,,,fl. ab.,-370,,,-393,-347,M,Menechmus,Mathematicians &cc Physicians,19,68,87,54,https://en.wikipedia.org/wiki/Menaechmus,,Turky in Europe,male,Greece,Europe
1550,Menecrates,"case3
",,,,,fl.,30,,,7,53,Ph,Menecrates,Mathematicians &cc Physicians,1,68,69,86,https://en.wikipedia.org/wiki/Menecrates_of_Tralles,,,male,Unknown,Unknown
1551,Menedemus Eretriensis,case1,d.,-301,,,,,,74,-375,-301,HP Eleack,Menedemus,Divines and Metaphysicians &cc,10,98,108,86,https://en.wikipedia.org/wiki/Menedemus,,Turky in Europe,male,Greece,Europe
1552,Menelaus,"case3
",,,,,fl.,98,,,75,121,M,Menelaus,Mathematicians &cc Physicians,24,68,92,86,https://en.wikipedia.org/wiki/Menelaus_(High_Priest),,Africa,male,Unknown,Unknown
1553,Menelaus,case8,d. af.,-162,,,,,,,117,163,J,Menelaus,Divines and Metaphysicians &cc,2,98,100,86,https://en.wikipedia.org/wiki/Menelaus_(High_Priest),,Africa,male,Unknown,Unknown
1554,Menno,,,,,,,1530,,,-45,,,Menno,Divines and Metaphysicians &cc,25,98,123,-99,https://en.wikipedia.org/wiki/Menno_Simons,,France,male,Netherlands,Europe|Central America
1555,Mephres,"case3
",,,,,fl.,-1125,,,-1148,-1102,,Mephres,Statesmen and Warriors,5,126,131,86,https://en.wikipedia.org/wiki/Thutmose_I,,,male,Unknown,Unknown
1556,Mercator,case1,d.,1594,,,,,,66,1528,1594,M,Mercator,Mathematicians &cc Physicians,15,68,83,86,https://en.wikipedia.org/wiki/Gerardus_Mercator,,France,male,Belgium,Europe
1557,Mercator Marius,case2,d. ab.,450,,,,,,,405,450,F,M. Mercator,Divines and Metaphysicians &cc,4,98,102,86,https://en.wikipedia.org/wiki/Marius_Mercator,,Africa,male,Unknown,Unknown
1558,Merlin,"case3
",,,,,fl.,476,,,453,499,P,Merlin,Artists Poets,13,42,55,86,https://en.wikipedia.org/wiki/Merlin,,,male,Unknown,Unknown
1559,Merula G.,case2,d.,1493,,,,,,,1448,1493,H,Merula,Historians and Antiquaries Lawyers,21,0,21,86,https://en.wikipedia.org/wiki/Georgius_Merula,,Italy,male,Italy,Europe
1560,Messabulach,"case3
",,,,,fl.,860,,,837,883,M,Messabulach,Mathematicians &cc Physicians,27,68,95,86,https://en.wikipedia.org/wiki/Mashallah_ibn_Athari,,Persia,male,Iraq,Asia
1561,Messala M. Valerius,case8,d. af.,-226,,,,,,,181,227,Pa,V. Messala,Artists Poets,22,42,64,86,https://en.wikipedia.org/wiki/Marcus_Valerius_Messalla_(consul_226_BC),,Italy,male,Unknown,Unknown
1562,Messalina,case2,d.,48,,,,,,,3,48,,Messalina,Statesmen and Warriors,24,126,150,86,https://en.wikipedia.org/wiki/Messalina,,Italy,female,Italy,Europe
1563,Messue,case2,d.,846,,,,,,,801,846,Ph,Messue,Mathematicians &cc Physicians,4,68,72,86,,https://books.google.com/books?id=fhcDAAAAQAAJ&pg=PA185&lpg=PA185&dq=messue+physician&source=bl&ots=Y4Fgh8W0J-&sig=ACfU3U1VA_tAKMqhBDy6vgwYc3VA5DC4DA&hl=en&sa=X&ved=2ahUKEwi556ihwq_nAhXFqZ4KHeVUD4wQ6AEwA3oECAkQAQ#v=onepage&q=messue%20physician&f=false,Persia,missing from OpenRefine results,Unknown,Unknown
1564,Metellus Numidicus,case8,d. af.,-100,,,,,,,55,101,,Metellus Nu:,Statesmen and Warriors,23,126,149,86,https://en.wikipedia.org/wiki/Quintus_Caecilius_Metellus_Numidicus,,Italy,male,Unknown,Unknown
1565,Metellus Tegerensis,"case3
",,,,,fl.,1060,,,1037,1083,P,Metellus T.,Artists Poets,10,42,52,86,,https://de.wikipedia.org/wiki/Quirinus_von_Tegernsee,Germany,missing from OpenRefine results,Unknown,Unknown
1566,Methodius,case2,d. ab.,303,,,,,,,258,303,F,Methodius,Divines and Metaphysicians &cc,20,98,118,86,https://en.wikipedia.org/wiki/Methodius_of_Olympus,,Turky,male,Turkey,Asia|Europe
1567,Meton,case8,d. af.,-415,,,,,,,370,416,M,Meton,Mathematicians &cc Physicians,19,68,87,86,https://en.wikipedia.org/wiki/Meton_of_Athens,,Turky in Europe,male,Greece,Europe
1568,Metrocles,"case3
",,,,,fl.,-300,,,-323,-277,HP Cyn,Metrocles,Divines and Metaphysicians &cc,11,98,109,86,https://en.wikipedia.org/wiki/Metrocles,,Turky in Europe,male,Greece,Europe
1569,Metrodorus,"case3
",,,,,fl.,-170,,,-193,-147,Pa,Metrodorus,Artists Poets,21,42,63,86,https://en.wikipedia.org/wiki/Metrodorus_of_Athens,,,male,Unknown,Unknown
1570,"Meursius, John",case1,d.,1639,,,,,,60,1579,1639,Cr,Meurseus,Orators and Critics &cc,15,22,37,86,https://en.wikipedia.org/wiki/Johannes_Meursius,,France,male,Netherlands,Europe|Central America
1571,Mezerai,case1,d.,1683,,,,,,73,1610,1683,H,Mezerai,Historians and Antiquaries Lawyers,9,0,9,86,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Eudes_de_M%C3%A9zeray,,France,male,France,Europe
1572,Micah,,,,,,,-750,,,-45,,,Micah,Divines and Metaphysicians &cc,6,98,104,-99,https://en.wikipedia.org/wiki/Micah_(prophet),,,male,Unknown,Unknown
1573,Michael Ducas,"case3
",,,,,fl.,1462,,,1439,1485,H,M. Ducas,Historians and Antiquaries Lawyers,19,0,19,86,https://en.wikipedia.org/wiki/Doukas_(historian),,,male,Unknown,Unknown
1574,"Middleton, Conyers",case1,d.,1750,,,,,,66,1684,1750,D,C. Middleton,Divines and Metaphysicians &cc,13,98,111,86,https://en.wikipedia.org/wiki/Conyers_Middleton,,Great Britain,male,United Kingdom,Europe
1575,Miltiades,case2,d.,-489,,,,,,,-534,-489,,Miltiades,Statesmen and Warriors,13,126,139,86,https://en.wikipedia.org/wiki/Miltiades,,Turky in Europe,male,Greece,Europe
1576,Milton,case1,d.,1674,,,,,,66,1608,1674,P,Milton,Artists Poets,5,42,47,86,https://en.wikipedia.org/wiki/John_Milton,,Great Britain,male,United Kingdom,Europe
1577,Mimnermus,"case3
",,,,,fl.,-600,,,-623,-577,P,Mimnermus,Artists Poets,4,42,46,87,https://en.wikipedia.org/wiki/Mimnermus,,,male,Turkey,Asia|Europe
1578,Minos,case2,d.,-964,,,,,,,-1009,-964,,Minos,Statesmen and Warriors,24,126,150,87,https://en.wikipedia.org/wiki/Minos,,,male,Unknown,Unknown
1579,Minucianus,"case3
",,,,,fl.,260,,,237,283,Cr,Minucianus,Orators and Critics &cc,9,22,31,87,,https://books.google.com/books?id=EvvIIEKrLTgC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=snippet&q=minucianus&f=false,Turky in Europe,missing from OpenRefine results,Unknown,Unknown
1580,Minucius Faelis,"case3
",,,,,fl.,220,,,197,243,F,M. Faelix,Divines and Metaphysicians &cc,10,98,108,87,https://en.wikipedia.org/wiki/Marcus_Minucius_Felix,,Africa,male,Algeria,Africa
1581,Mirkhond,"case3
",,,,,fl.,1478,,,1455,1501,H,Mirkhond,Historians and Antiquaries Lawyers,9,0,9,87,https://en.wikipedia.org/wiki/M%C4%ABr-Khv%C4%81nd,,India,male,Afghanistan,Asia
1582,Misitheus,case2,d.,243,,,,,,,198,243,,Misitheus,Statesmen and Warriors,23,126,149,87,https://en.wikipedia.org/wiki/Gaius_Furius_Sabinius_Aquila_Timesitheus,,Italy,male,Unknown,Unknown
1583,Misphragmuthosis,"case3
",,,,,fl.,-1157,,,-1180,-1134,,Misphragmuthosis,Statesmen and Warriors,3,126,129,87,,,Africa,missing from OpenRefine results,Unknown,Unknown
1584,Mithridates,case1,d.,-63,,,,,,72,-135,-63,,Mithridates,Statesmen and Warriors,4,126,130,87,https://en.wikipedia.org/wiki/Mithridates_VI_of_Pontus,,,male,Turkey,Asia|Europe
1585,Moawiah,case1,d.,679,,,,,,75,604,679,,Moawiay,Statesmen and Warriors,10,126,136,87,https://en.wikipedia.org/wiki/Muawiyah_I,,,male,Saudi Arabia,Asia
1586,Modestinus Herennius,"case3
",,,,,fl.,240,,,217,263,L,Modestinus,Historians and Antiquaries Lawyers,5,0,5,87,https://en.wikipedia.org/wiki/Herennius_Modestinus,,Italy,male,Unknown,Unknown
1587,Moeris,"case3
",,,,,fl.,-860,,,-883,-837,,Moeris,Statesmen and Warriors,4,126,130,87,https://en.wikipedia.org/wiki/Amenemhat_III,,Africa,male,Unknown,Unknown
1588,Moez,case1,d.,987,,,,,,44,943,987,,Moez,Statesmen and Warriors,5,126,131,87,https://en.wikipedia.org/wiki/Al-Mu%27izz_li-Din_Allah,https://books.google.com/books?id=t64-AAAAYAAJ&pg=PA315&lpg=PA315&dq=moez+universal+history&source=bl&ots=1rZV-TEhoU&sig=ACfU3U1Mm_E701eU7xT2DZ5NhR7n424BGA&hl=en&sa=X&ved=2ahUKEwitrd2UsLHnAhVCIDQIHd_0CPEQ6AEwFXoECAsQAQ#v=onepage&q=moez%20universal%20history&f=false,Africa,male,Tunisia,Africa
1589,Mohammed,case1,d.,632,,,,,,63,569,632,Moh,Mohammed,Divines and Metaphysicians &cc,5,98,103,87,https://en.wikipedia.org/wiki/Muhammad,,,male,Saudi Arabia,Asia
1590,Mohammed 2nd,case1,d.,1481,,,,,,51,1430,1481,,Mohammed 2d,Statesmen and Warriors,3,126,129,87,https://en.wikipedia.org/wiki/Mehmed_the_Conqueror,,Turky in Europe,male,Turkey,Asia|Europe
1591,"Mohammed, Ben Musa","case3
",,,,,fl.,800,,,777,823,M,Mohammed Ben Musa,Mathematicians &cc Physicians,25,68,93,55,https://en.wikipedia.org/wiki/Muhammad_ibn_Musa_al-Khwarizmi,,BLANK 1,male,Uzbekistan,Asia
1592,Moliere,case1,d.,1672,,,,,,52,1620,1672,P,Moliere,Artists Poets,1,42,43,87,https://en.wikipedia.org/wiki/Moli%C3%A8re,,France,male,France,Europe
1593,Molina,case1,d.,1600,,,,,,65,1535,1600,D,Molina,Divines and Metaphysicians &cc,24,98,122,55,https://en.wikipedia.org/wiki/Luis_de_Molina,,Spain,male,Spain,Europe
1594,Molyneux,case1,d.,1698,,,,,,42,1656,1698,M,Molineux,Mathematicians &cc Physicians,22,68,90,87,https://en.wikipedia.org/wiki/William_Molyneux,,Great Britain,male,Ireland,Europe
1595,Monk,case1,d.,1670,,,,,,62,1608,1670,,Monk,Statesmen and Warriors,22,126,148,87,"https://en.wikipedia.org/wiki/George_Monck,_1st_Duke_of_Albemarle",,Great Britain,male,United Kingdom,Europe
1596,Montaigne,case1,d.,1592,,,,,,59,1533,1592,Bel,Montaigne,Orators and Critics &cc,17,22,39,87,https://en.wikipedia.org/wiki/Michel_de_Montaigne,,France,male,France,Europe
1597,Montanus,"case3
",,,,,fl.,173,,,150,196,F,Montanus,Divines and Metaphysicians &cc,7,98,105,87,,https://en.wikipedia.org/wiki/Montanism,,missing from OpenRefine results,Unknown,Unknown
1598,Montesquieu,case1,d.,1755,,,,,,66,1689,1755,Pol,Montesquieu,Divines and Metaphysicians &cc,21,98,119,87,https://en.wikipedia.org/wiki/Montesquieu,,France,male,France,Europe
1599,Montfaucon,case1,d.,1741,,,,,,87,1654,1741,Ant,Montfaucon,Historians and Antiquaries Lawyers,6,0,6,55,https://en.wikipedia.org/wiki/Bernard_de_Montfaucon,,France,male,France,Europe
1600,"Montford, Earl of Leicester",case2,d.,1265,,,,,,,1220,1265,,Montford,Statesmen and Warriors,23,126,149,87,"https://en.wikipedia.org/wiki/Simon_de_Montfort,_6th_Earl_of_Leicester",,France,male,France,Europe
1601,"Montford, Simon Senior",case2,d.,1218,,,,,,,1173,1218,,S. Montford Sen:,Statesmen and Warriors,24,126,150,87,"https://en.wikipedia.org/wiki/Simon_de_Montfort,_5th_Earl_of_Leicester",,France,male,Unknown,Unknown
1602,Montmorency,case2,d.,1567,,,,,,,1522,1567,,Montmorency,Statesmen and Warriors,13,126,139,87,https://en.wikipedia.org/wiki/Anne_de_Montmorency,,France,male,France,Europe
1603,Montrose,case1,d.,1650,,,,,,38,1612,1650,,Montrose,Statesmen and Warriors,16,126,142,87,"https://en.wikipedia.org/wiki/James_Graham,_1st_Marquess_of_Montrose",,Great Britain,male,United Kingdom,Europe
1604,"Moore, Anthony",case1,d.,1575,,,,,,55,1520,1575,Pa,Ant: Moore,Artists Poets,18,42,60,87,https://en.wikipedia.org/wiki/Antonis_Mor,,France,male,Netherlands,Europe|Central America
1605,Mordecai,case2,d.,1310,,,,,,,1265,1310,J,Mordecai,Divines and Metaphysicians &cc,1,98,99,87,https://en.wikipedia.org/wiki/Mordecai,,Persia,male,Iran,Asia
1606,"More, Thomas",case2,d.,1535,,,,,,,1490,1535,,Th. More,Statesmen and Warriors,26,126,152,87,https://en.wikipedia.org/wiki/Thomas_More,,Great Britain,missing from OpenRefine results,United Kingdom,Europe
1607,Morhoff,case1,d.,1691,,,,,,53,1638,1691,Cr,Morhoff,Orators and Critics &cc,4,22,26,87,https://en.wikipedia.org/wiki/Daniel_Georg_Morhof,,Germany,male,Germany,Europe
1608,"Morley, David","case3
",,,,,fl.,1190,,,1167,1213,M,D. Morley,Mathematicians &cc Physicians,23,68,91,87,https://en.wikipedia.org/wiki/Daniel_of_Morley,,Great Britain,male,United Kingdom,Europe
1609,"Mortimer, E. of March",case2,d.,1330,,,,,,,1285,1330,,Mortimer,Statesmen and Warriors,21,126,147,87,"https://en.wikipedia.org/wiki/Roger_Mortimer,_1st_Earl_of_March",,Great Britain,male,United Kingdom,Europe
1610,Moschopulus Senior,"case3
",,,,,fl.,1392,,,1369,1415,Cr,Moschopylus,Orators and Critics &cc,14,22,36,87,https://en.wikipedia.org/wiki/Manuel_Moschopoulos,,,male,Byzantine Empire|Latin Empire|Ottoman Empire,Europe|Europe|Asia|Asia|Europe|Africa
1611,Moschus,"case3
",,,,,fl.,-177,,,-200,-154,P,Moschus,Artists Poets,5,42,47,87,https://en.wikipedia.org/wiki/Moschus,,Italy,male,Italy,Europe
1612,Moses Sackcloth,case2,d.,997,,,,,,,952,997,J,Moses Sackcloth,Divines and Metaphysicians &cc,2,98,100,88,https://en.wikipedia.org/wiki/Moses_ben_Hanoch,https://books.google.com/books?id=2ww4AQAAMAAJ&pg=PA286&lpg=PA286&dq=moses+sackcloth&source=bl&ots=vspRG8nQjD&sig=ACfU3U3tRjN1j1nLnZJxN6CCEl5JO3xetA&hl=en&sa=X&ved=2ahUKEwjo9LbltLHnAhXCu54KHSf8BpAQ6AEwDHoECAoQAQ#v=onepage&q=moses%20sackcloth&f=false,,male,Unknown,Unknown
1613,"Moses, Ben Chilpeta","case3
",,,,,fl.,130,,,107,153,J,M. Chilpeta,Divines and Metaphysicians &cc,5,98,103,87,https://en.wikipedia.org/wiki/Jose_ben_Halafta,,Turky in Asia,male,Israel,Asia
1614,Mostancer,case1,d.,1095,,,,,,59,1036,1095,,Mostanser,Statesmen and Warriors,4,126,130,88,https://en.wikipedia.org/wiki/Nizar_ibn_al-Mustansir,,,male,Unknown,Unknown
1615,Motanabbi,case1,d.,965,,,,,,54,911,965,P,Montanabbi,Artists Poets,5,42,47,88,https://en.wikipedia.org/wiki/Al-Mutanabbi,,Persia,male,Iraq,Asia
1616,Muca,case2,d.,714,,,,,,,669,714,,Muca,Statesmen and Warriors,4,126,130,88,https://en.wikipedia.org/wiki/Musa_ibn_Nusayr,https://books.google.com/books?id=7BhXAAAAcAAJ&pg=PA55&lpg=PA55&dq=muca+universal+history&source=bl&ots=9sgf_6HvRZ&sig=ACfU3U32FOI74jgl_nGDdCpeBt0LOI4sHA&hl=en&sa=X&ved=2ahUKEwiX5M_nt7HnAhVLjp4KHRxUDoUQ6AEwGXoECA0QAQ#v=onepage&q=muca%20universal%20history&f=false,,missing from OpenRefine results,Unknown,Unknown
1617,Mummius,"case3
",,,,,fl.,-146,,,-169,-123,,Mummius,Statesmen and Warriors,24,126,150,88,https://en.wikipedia.org/wiki/Lucius_Mummius_Achaicus,,Italy,male,Unknown,Unknown
1618,"Munster, Sebastian","case3
",,,,,fl.,1530,,,1507,1553,M,S. Munster,Mathematicians &cc Physicians,16,68,84,88,https://en.wikipedia.org/wiki/Sebastian_M%C3%BCnster,,Germany,male,Germany,Europe
1619,"Murs, Jean des","case3
",,,,,fl.,1533,,,1510,1556,,I. de Murs,Artists Poets,16,42,58,55,https://en.wikipedia.org/wiki/Johannes_de_Muris,,France,male,France|Jersey|Guernsey,Europe|Europe|Europe
1620,Musaeus,"case3
",,,,,fl.,-950,,,-973,-927,P,Musaeus,Artists Poets,7,42,49,88,https://en.wikipedia.org/wiki/Musaeus_of_Athens,,Turky in Europe,male,Unknown,Unknown
1621,Muschenbroeck,case1,d.,1761,,,,,,69,1692,1761,M,Muschenbroeck,Mathematicians &cc Physicians,27,68,95,55,https://en.wikipedia.org/wiki/Pieter_van_Musschenbroek,,France,missing from OpenRefine results,Netherlands,Europe|Central America
1622,Musurus,case1,d.,1517,,,,,,49,1468,1517,Cr,Musurus,Orators and Critics &cc,2,22,24,88,https://en.wikipedia.org/wiki/Marcus_Musurus,,Turky in Europe,male,Greece,Europe
1623,Myron,"case3
",,,,,fl.,-444,,,-467,-421,St,Myron,Artists Poets,25,42,67,88,https://en.wikipedia.org/wiki/Myron,,Turky in Europe,missing from OpenRefine results,Greece,Europe
1624,Myso,"case3
",,,,,fl.,590,,,567,613,HP,Myso,Divines and Metaphysicians &cc,14,98,112,88,https://en.wikipedia.org/wiki/Myson_of_Chenae,,,male,Unknown,Unknown
