INDEX MATCH?,P MATCH?,WIKI MATCH?,AUTH MATCH?,UO ID?,INDEX MATCH?,P MATCH?,WIKI MATCH?,AUTH MATCH?,UO ID?,Preistley Name,Priestley BORN,Priestley DIED,WATKINS_ID,NAME,SHORT NAME,BIO,SOURCE,BORN,DIED,ALIVE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,45,Ahpias of Babylon,Ahpias of Babylon,"Author of a legend entitled Historia Certaminis Apostolici, printed at Basil in 1571. He pretended that be was one of the seventy-two disciples sent out by Jesus Christ, and that having been an attendant on Simon and Jude, he was made hv them the first bishop of Babylon.",Boyle.,,,1571,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,46,Abdolmumem,Abdolmumem,"Or Abdalmom, though the son of a potter, became a general, and at last a monarch, by the style of Emir Al Mumeni/i (head of the true believer's). He took Morocco, and destroyed the whole of the Almoravide family. After numerous conquests he died in 1156, and was succeeded by his son Joseph.",Mod. Univ. Hist.,,1156,1156,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,47,Abeii.lk (Gaspard),Abeii.lk,"A native of Reiz, in Provence, wlio came to Paris when very young , where he was greatly admired for us wit, particularly by the marshal de Luxemburg, to whom he was secretary. He was a member of the French academy, and prior of a convent. His writings consist of odes, ephtles, and some dramatic pieces. He died at Paris, in 1718.",Morcri.,,,1718,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,48,Abkillk (Scipio),Abkillk,"Brother of the above, .Vas surgeon-major in the army, and author 01 - The complete Army Surgeon, 1669, 12mo. and a History of the Bones, I2nKE 16S5. He died in 1697.",Moreri.,,1697,01,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,49,Abel,Abel,"The second son of our first parents. He was murdered by his brother Cain out of envy, because his offering was accepted and Cain's rejected.",SS.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,50,Abel (Frederic Gottfried),Abel,"A German physician and poet, was born at Halberstadt, in 1714. He was bred a divine, but not obtaining the preferment he expected, he turned his attention to physic, in which he took his doctor's degree at Konigsburg, in 1744. He practised at Halberstadt with great reputation till his death, which happened in 1794. Fie published a German translation of Juvenal in 1788.",Gen. Bio^.,,,1714,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,51,Abel,Abel,"King of Denmark, the son of Valdimerll. He assassinated his brother Eric in 1750, and took possession of his throne. He was put to death by the Frisons, who revolted against him on account of the heavy impositions which he had laid upon them.",Mod. U. H.,,,1750,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,52,Abel (Charles Frederic),Abel,"An eminent musician, whose compositions will be ever held in the highest estimation by the lovers of harmony. Fie died in 1787. He excelled on the viol di gamba.",Burney.,,1787,1787,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,53,Abe i.a (George Francis),Abei.a,"Commander of the order of Malta, and author of a work entitled Maltha Illustrata, 1647, folio, or a description of that island and its antiquities; printed at Malta, curious and scarce.",Morcri.,,,1647,,,,,,,,,,,,,,,,,,
Abelard,Abelard,,,9,Abelard,Abelard,,,9,Abelard,1081,1143,54,Abelard (Peter),Abelard,"Was born in 1079, at Palais, near Nantz, in Britany. He studied logic and metaphysics with such eagerness that he soon became a powerful disputant; and turning his talents against his old master Champeaux, professor of philosophy at Paris, obliged him to quit his chair and retire to a convent. Abelard then applied to the study of divinity, and in a short time became celebrated in that faculty. A wealthy canon, called Fulbert, took Abelard into his house on condition that he should teach his niece Heloise philosophy. Instead, however, of abstruse learning, he taught her love, and Abelard was so intoxicated with the passion that his lectures lost the charms, which used to attract the admiration of crowded audiences, and every body saw the reason of it except Fulbert, who at last, being convinced of the truth, turned Abelard out of doors. Heloise, on this, followed her lover, who conveyed her to his sister's house in Britany, where she was delivered of a son, named Astrolabius; and Abelard offered Fulbert to marry his niece, but it is astonishing, that though the uncle was pleased with the oiler, the lady refused it. She afterwards, indeed, consented to a private marriage, but never would own it, and indeed sometimes would not scruple to swear that it was not true. This added greater fury to the canon's rage; and Abelard sent her, in consequence, to the monastery of Argenteuil where she put on the religions habit, but not the veil. The enraged Fulbert caused Abelard to be emasculated by ruffians, who broke into his chamber; on which he turned monk in the abbey of St. Denis, which he soon left, and retired to Champaigns, where he became lecturer, and with great success. This raised him numerous enemies, particularly the professors at Rheims, who charged him with heterodoxy on the subject of the Trinity, and got him censured at the council of Soissons, in 1121. He afterwards erected an oratory in the diocese of Troyes, called the Paraclete, but was soon driven from it by his enemies. He next became abbot of Ruis, in the diocese of Vannes, and gave Heloise and some other nuns the Paraclete. In 1140, his works were condemned as heretical by a council; which decree was confirmed by the pope, who ordered Abelard to be confined; but at the request of Peter, abbot of Clugny, this sentence was mitigated. After a life of extraordinary vicissitudes, Abelard died in the priory of St. Marcellas, in 1142, and the corpse being sent to Heloise she deposited it in the Paraclete. The names of these lovers are eternized by the epistles published by Pope and other poets. Heloise died in 1103, and was buried in the Paraclete; and in 1780, the abbess, madame de Roncy, ordered the bones of the lovers to be placed in a leaden coffin and deposited under the altar. She also caused a monument of black marble to be placed over the spot. The works of Abelard were published at Paris in one volume, 4to. 1616.","Berington's Hist, of Abelard and Heloise, 4to. Bayle. Moreri. ",1079,1103,1079,Burney's Hist. Music.,,,,,,,,,,,,,,,,,
