NameInIndex,UO_ID,Bio Name,BioSource,Biography,Citation,Region_final,Sex or gender V2,case,VisualCase,IndexLifeCode,DeathPrecision,DeathDate,BornPrecision,BirthDate,Alive precision,AliveDate,LifeLength Precision,LifeLength,aproxBirthDate,aproxDeathDate,Index Category 1,NameOnChart,OnChartCategory,On Chart: Line #,Section starting Line,LineNumber,FullTextPageNum,WikiLink
"Hoffman, John Maurice",1184.0,Hoffman (Maurice),Watkins,"An eminent physician, was born at Furstemberg, in 1621. He took his doctor's degree at Padua, and in 1643 was made professor of anatomy and surgery at Altdorf, and the year following professor of physic. In 1653 he obtained the professorship of botany, to which was added the direction of the physic-garden. He died in 1698, His works are: 1. Altdorfi Delicite Hortenses; 2. Appendix ad Catalogum Plantarum hortensium; 3. Delicias silvestres; 4. Florilegium Altdorfinum.",,Germany,male,case1,C,d. (LL),d.,1727.0,,,,,,74.0,1653.0,1727.0,Ph,Hoffman,Mathematicians &cc Physicians,3.0,69.0,72,75.0,
Hogarth,1185.0,Hogarth (William),Watkins,"A celebrated painter, was born at London, in 1698, and bound apprentice to an engraver of arms on silver plate. About 1720 he setup for himself, and his first employment was to engrave coats of arms and shop bills. He next undertook to execute plates for booksellers, the chief of which are the prints to Hudibras. His first performance as a painter was a representation of Wanstead assembly, the portraits being taken from life. In 1730 he married a daughter of sir James Thornhill, and shortly after embellished the gardens of Vauxhall with some excellent paintings, for which the proprietor complimented him with a perpetual ticket of admission. In 1733 appeared his Harlot's Progress, prints which stamped his reputation, and were followed by other moral histories, admirably executed. Soon after the treaty of Aix-Ia-Chapelle he went to France, and while at Calais began to sketch a drawing of the gate of the town, for which he was taken up, but was soon released. This circumstance he ridiculed in an excellent caricature. In 1753 he published his Analysis of Beauty, in 4to. Hogarth was very vain, and thought himself the first painter of the age. He was also remarkably absent, of which the following is an instance: on setting up his carriage he paid a visit to the lord mayor, and having protracted his stay till a heavy shower came on, he was let cut by a different door from that by which he entered, and unmindful of his carriage, he set off on foot and got home dripping wet. When Mrs. Hogarth asked him where he had left the carriage, he said that he had forgot it. He died in 1762, and was interred in the churchyard of Chiswick.",,Great Britain,male,case1,C,d. (LL),d.,1764.0,,,,,,64.0,1700.0,1764.0,Pa,Hogarth,Artists Poets,17.0,43.0,60,75.0,https://en.wikipedia.org/wiki/William_Hogarth
"Holbein, Hans",1186.0,Holbein (John or Hans),Watkins,"A famous painter, was horn at Basil in Switzerland, in 1498, and was instructed in his art by his father. In the town-house of Basil he painted a fine picture of our Saviour's passion: and in the fish-market there a dance of peasants, and Death's Dance, the last of which has been engraved in a series of plates. He visited England in the reign of Henry VIII. who liberally patronized him on the recommendation of sir Thomas More. He painted a number of portraits and historical pieces. Holbein died of the plague at London, in 1554.",,Germany,male,case1,C,d. (LL),d.,1554.0,,,,,,56.0,1498.0,1554.0,Pa,Holbein,Artists Poets,14.0,43.0,57,75.0,https://en.wikipedia.org/wiki/Hans_Holbein_the_Younger
"Holcock, Robert",1187.0,,,,,,male,case3,A,fl.,,,,,fl.,1340.0,,,1310.0,1355.0,M,Holcock,Mathematicians &cc Physicians,17.0,69.0,86,49.0,https://en.wikipedia.org/wiki/Robert_Holcot
"Hollandus, Isaac",1188.0,,,,,France,male,case3,A,fl.,,,,,fl.,1400.0,,,1370.0,1415.0,Chy,Hollandus,Mathematicians &cc Physicians,25.0,69.0,94,75.0,https://de.wikipedia.org/wiki/Johann_Isaac_Hollandus
Hollar,1189.0,Hollar (Wenceslaus),Watkins,"A celebrated engraver, was born at Prague in Bohemia, in 1607. The earl of Arundel, being on an embassy to the imperial court, took him into his suite, and brought him to England. His first performance here was a view of Greenwich. After this he etched a number of views and portraits. In 1640 appeared his fine set of figures in 23 plates, called, Ornatus Muliebris Anglicanus, containing the dresses of English women of all degrees. In 1645 he settled at Antwerp, where the earl of Arundel resided with his family. While there he etched many portraits and landscapes after Breughel, Elsheimer, and Teniers. In 1652 he returned to England, and continued laboriously employed till his death in 1677.",,Germany,male,case1,C,d. (LL),d.,1667.0,,,,,,60.0,1607.0,1667.0,Pa,Hollar,Artists Poets,19.0,43.0,62,75.0,https://en.wikipedia.org/wiki/Wenceslaus_Hollar
Holt,1190.0,Holt (sir John),Watkins,"An eminent judge, was born at Thame in Oxfordshire, in 1612, and educated at Abingdon school, and afterwards at Oriel college, Oxford, from whence he went to Gray's-inn. In the reign of James II. he was made recorder of London, and in 1686 serjeant at law. He sat in the convention-parliament, and shortly after was made chief-justice of the king's bench, and a privy counsellor. On all occasions he displayed an intrepid mind, as well as a profound knowledgeof the common law; and a greater proof of his regard to the rights of the people cannot be given than in the following instance: There happened in his time a riot, occasioned by the practice of decoying young persons to the plantations, who were confined in a house in Holborn till they could be shipped off. Notice of the riot being sent to Whitehall, a party of the military were ordered out, but before they marched an officer was sent to the chief-justice to desire him to send some of his people with the soldiers. Holt asked the officer what he intended to do if the mob refused to disperse: ""My lord (replied he), we have orders to fire upon them."" ""Have you so?"" said Holt, ""then observe what I say; if one man is killed, I will take care that you and every soldier of your party shall be hanged. Sir, acquaint those who sent you, that no officer of mine shall attend soldiers; and let them know likewise, that the laws of this land are not to be executed by the sword : these things belong to the civil power, and you have nothing to do with them."" So saying he dismissed the officer, proceeded to the spot with his tipstaves, and prevailed upon the populace to disperse, on a promise that justice should be done, and the abuse remedied. He died in 1710.",,Great Britain,male,case1,C,d. (LL),d.,1710.0,,,,,,67.0,1643.0,1710.0,L,Holt,Historians and Antiquaries Lawyers,2.0,0.0,2,75.0,https://en.wikipedia.org/wiki/John_Holt_(Lord_Chief_Justice)
Homberg,1191.0,Homberg (William),Watkins,"A celebrated chemist, was born in 1652 at Batavia, where his father was governor of the arsenal. He at first entered into the army; but quitted that profession for the law, which he also abandoned, and applied to the sciences, particularly botany, medicine, and chemistry; to improve himself in which he travelled, through various countries. In 1682 he settled in France, and abjured the protestant religion, hut being disappointed in his expectations he went to Rome, and practised physic. He afterwards returned to Paris, where he became a member of the academy of sciences, and chemist and physician to the duke of Orleans. He died in. 1715. He discovered the properties of the Bologna stone, and its phosphoric appearance after calcination. Some of his papers are in the memoirs of the academy.",,,male,case1,C,d. (LL),d.,1715.0,,,,,,63.0,1652.0,1715.0,Chy,Homberg,Mathematicians &cc Physicians,24.0,69.0,93,75.0,https://en.wikipedia.org/wiki/Wilhelm_Homberg
Homer,1192.0,Homer,Watkins,"The father of Greek poetry, was born on the banks of the river Meles, whence his mother called him Melesigenes. He was a natural child, but his mother afterwards married one Phenius, a citizen of Smyrna, who adopted the child as his son. His birth, however, is involved in so much obscurity that all this may be fable, for the ancients are not agreed as to the period in which he flourished, and seven cities disputed the honour of having given him birth. He is said to have kept a school at Smyrna, and that he afterwards accompanied Mentes, a master of a ship, in several voyages, and by him was left at Ithaca, where he gathered many particulars respecting Ulysses, which laid the foundation of the Odyssey. At length Mentes returned and took him on board again, but at Colophon he had the misfortune of losing his sight. He then became a strolling hard and obtained the name of Homer, which signifies a blind man. It is further added, that being at Phoctea, a school-master, named Thestorides, offered to maintain him, provided he would suffer him to transcribe his verses, which he agreed to from necessity. The school-master then went to Chios, where he acquired great wealth by Homer's poems, while the poet himself could scarcely get bread by reciting them. Homer on this proceeded to Chios and Thestorides, hearing of his arrival, fled before him. Here the poet opened a school of poetry, married, and had two daughters. He died about 907 years B. C. The only genuine works of his extant, are the Iliad and Odyssey. The Batrachomyomachia, or Battle of the Frogs and Mice, has been disputed, but many good critics deem it to be his. The Hymns which go under his name are questionable. The best editions of Homer are, that of Barnes, Cambridge, 2 vols. 4to. 1711; Clarke's, 4 vols.; that of Glasgow, 2 vols. folio, 1758; that of Oxford, 5 vols. 8vo. 1780; and what is called the Grenville edition, recently published from the same press. It is needless to enter into his character as a poet, as he was beyond a doubt the most exalted and universal genius the world has seen.",,Turky in Asia,male,case3,A,fl.,,,,,fl.,-850.0,,,-880.0,-835.0,P,Homer,Artists Poets,8.0,43.0,51,75.0,https://en.wikipedia.org/wiki/Homer
Honain,1193.0,Honain,Crabb,"An Arabian translator, and a Christian, native of Hira in the ninth century, translated the Elements of Euclid; the Almagest of Ptolemy; the writings of Aristotle, Hippocrates, and other Greek authors.",,Turky in Asia,male,case2,D,d.,d.,875.0,,,,,,,830.0,875.0,Cr,Honain,Orators and Critics &cc,10.0,22.0,32,75.0,https://en.wikipedia.org/wiki/Hunayn_ibn_Ishaq
Honorius,1194.0,Honorius,Watkins,"Emperor of the west, was the second son of Theodosius the Great, and associated in the empire with Arcadius his brother in 395. His guardian, Stilico, endeavouring to dethrone him, was slain. In 409 Alaric the Goth besieged Rome, and ravaged all the country, while Honorius remained indolent at Ravenna. He died of a dropsy in that city in 423, aged 39.",,,male,case1,C,d. (LL),d.,424.0,,,,,,39.0,385.0,424.0,,Honorius,Statesmen and Warriors,8.0,127.0,135,75.0,https://en.wikipedia.org/wiki/Honorius_(emperor)
Honorius Augustidunensis,1195.0,Honorius,Aikin,"Surnamed the Solitary, a priest and scholastic divine of the church of Autun, in Burgundy, who flourished under the reign of the emperor Henry V. about the year 1020. We have no further particulars concerning his life; but he was the author of various works, which are still extant, and held in some estimation on account of the industry, and diligence in enquiry which they discover. The principal of them are, ""Liber de Lumimribus Ecclesias, sive de Scriptoribus Ecclesiasticis, 5cc."" first printed at Cologne in 1580, octavo; "" Commentari in Libros tres balomonis,"" first printed at the same place in 1540; "" Inevitable, sive Dialogus de Prredestinatione & Libero Arbitrio,"" first published at the same place in 1552, octavo; "" Gemma Animoe, de Officio Missie, ejusque Creremonis,"" printed at Leipsic in 1514; "" Synopsis Mundi, sive de Imagine Mundi Lib. III,"" printed at Spires in 1583; "" Libellus de Hasresibus,"" printed at Basil in 1544; "" De Mundi Philosophia, Lib. IV;"" ""De Solis Affectibus Liber;"" and "" Series Romanorum Pontificum a S. Petro ad Innocentium II."" The above are all edited in the twentieth volume of the ""Bibl. Patr.""",,Germany,male,case3,A,fl.,,,,,fl.,1130.0,,,1100.0,1145.0,D,Honorius,Divines and Metaphysicians &cc,28.0,99.0,127,75.0,https://en.wikipedia.org/wiki/Honorius_Augustodunensis
Hooke,1196.0,Hooke (Robert),Watkins,"A celebrated mathematician, was born at Freshwater in the Isle of Wight in 1635, and having a taste for drawing, was placed under sir Peter Lely, but the oil-colours disordering his head he quitted painting, and was taken by Dr. Busby into his house, after which he went to Christchurch, Oxford. He assisted Dr. Willis in his chemical operations, and became assistant to Mr. Boyle. He was one of the first fellows of the royal society, the repository of which was entrusted to his care. In 1564 he was made professor of, mechanics to that learned body, and at the same time elected Gresham professor of geometry. After the fire of London he produced a plan for rebuilding the city, which procured him the appointment of one of the city surveyors, but his plan was not adopted. In 1668 he had a dispute with Hevelius respecting telescopic sights, which he conducted with great asperity In 1671 he attacked sir Isaac Newton's Theory of Light and Colours: and he afterwards pretended that the discovery made by that great man concerning the force and action of gravity was originally made by himself. In 1691 archbishop Tillotson created him M. D. He died at his lodgings in Gresham college in 1702. He wrote Micrographia, or Philosophical Descriptions of minute Bodies made by magnifying Glasses With Observations and Enquiries thereupon, folio, 1665. Several of his papers are in the Philosophical Transactions: and after his death appeared his Posthumous Works, in folio, 1705. He was a man of great mechanical genius, and the sciences are indebted to him for several valuable instruments and improvements.",,,male,case1,C,d. (LL),d.,1703.0,,,,,,67.0,1636.0,1703.0,M,Hooke,Mathematicians &cc Physicians,29.0,69.0,98,75.0,https://en.wikipedia.org/wiki/Robert_Hooke
Hooker,1197.0,Hooker (Richard),Watkins,"An English divine, called the judicious, was nephew of the above, and born at Heavitree near Exeter in 1553. He received his education at the grammar-school of that city, from whence he was sent by his relation bishop Jewell to Corpus Christi college, Oxford, of which he was made bible-clerk, and in 1577 chosen fellow. In 1581 he took orders, and in 1584 he was presented to the rectory of Drayton-Beauchamp in Buckinghamshire, where he led an uncomfortable life with his wife Joan for about a year. Being found in this situation by his pupil, Mr. Edwin Sanclys, son to the archbishop of York, he represented his case so pathetically to his father, that he procured for him the mastership of the Temple. But this place did not suit Hooker, who was fitted for a country retirement: he therefore applied to archbishop Whitgift for a removal to ""some quiet parsonage,"" and he was accordingly presented to a living in Wiltshire, where he wrote part of his Ecclesiastical Polity. In 1595 the queen presented him to the rectory of Bishop's Bourne, where he finished that great work, and his life in 1600. Pope Clement VIII. said of his book,  ""that there were in it such seeds of eternity as will continue till the last fire shall devour all learning."" His works have been frequently printed in folio, and at Oxford in octavo.",,Great Britain,male,case1,C,d. (LL),d.,1600.0,,,,,,46.0,1554.0,1600.0,D,Hooker,Divines and Metaphysicians &cc,20.0,99.0,119,75.0,https://en.wikipedia.org/wiki/Richard_Hooker
Horace,1198.0,Horatios or Horace (Quintus Flaccus),Watkins,"An elegant Roman poet, was born at Venusinum, in Apulia, or Lucania, B. C. 65. His father was a freedman, but though poor he gave his son a good education, placing him first under the best masters at Rome, and then sending him to Athens, that he might study philosophy. Here he was taken notice of by Brutus, who took him into his army, and made him a tribune; but Horace had more wit than courage, and at the battle of Philippi he threw away his, shield and fled. Being reduced to want, Virgil became his patron, and recommended him to Maecenas, by which means he was introduced to Augustus, who offered him considerable preferments, which he declined, preferring a private life to the honours of the court. He was highly steemed by the first people at Rome, particularly Maecenas and Polio. In the latter part of his life he retired to the country, where he indulged himself in a philosophical ease, which he has admirably described in his odes. He died eight years B. C., and was buried near his friend and patron Maecenas, whose death it is said hastened his own. The best editions of Horace are those of Tips. 1752; and of Glasgow, 12mo. 1744. He has been well translated into English by Mr. Francis.",Moreri,Italy,male,case1,C,d. (LL),d.,-8.0,,,,,,57.0,-65.0,-8.0,P,Horace,Artists Poets,9.0,43.0,52,75.0,https://en.wikipedia.org/wiki/Horace
Hormisdas 2nd,1199.0,Hormisdas II,Crabb,"Son of Narses, succeeded his father in 301, and reigned seven years and five months.",,,male,case2,D,d.,d.,309.0,,,,,,,264.0,309.0,,Hormisdas 2d,Statesmen and Warriors,4.0,127.0,131,75.0,https://en.wikipedia.org/wiki/Hormizd_II
Horne,1200.0,,,,,Great Britain,male,case3,A,fl.,,,,,fl.,1305.0,,,1275.0,1320.0,L,A. Horn,Historians and Antiquaries Lawyers,7.0,0.0,7,75.0,https://en.wikipedia.org/wiki/Andrew_Horn
Horrox,1201.0,Horrox (Jeremiah),Watkins,"An English astronomer, was born at Toxteth, in Lancashire, about 1619. He received his academical education at Emanuel college, Cambridge, after which he retired to Hool near Liverpool, where he devoted himself to astronomical observations; but was cut off by a sudden death in 1640. He was the first who observed the transit of Venus over the sun's disk, his account of which was published by Hevelius at Dantzic in 1661, under the title, Venus in Sole visa, anno 1639, Nov. 24. Dr. Wadis published his posthumous works in 1673.",,Great Britain,male,case1,C,d. (LL),d.,1640.0,,,,,,23.0,1617.0,1640.0,M,Horrox,Mathematicians &cc Physicians,15.0,69.0,84,75.0,https://en.wikipedia.org/wiki/Jeremiah_Horrocks
Hortensius Qu,1202.0,Hortensius (Quintus),Watkins,"A Roman orator, who pleaded his first cause with great applause at the ago of 19, B. C. 94. He became successively military tribune, praetor, and consul. He died immensely rich, B. C. 49. His daughter Hortensia inherited his eloquence, and when the Roman women were required to render on oath an account of their property, she pleaded the cause of her sex with such force that the decree was annulled.",,Italy,male,case1,C,d. (LL),d.,-50.0,,,,,,63.0,-113.0,-50.0,Or,Hortensius,Orators and Critics &cc,17.0,22.0,39,75.0,https://en.wikipedia.org/wiki/Quintus_Hortensius
Hosea,1203.0,Hosea,Watkins,"The most antient of the minor prophets, flourished in the reign of Jeroboam the second king of Israel, and in that of Uzziah, from A. M. 3194 to 3219.",,,male,case2,E,d. ab.,d. ab.,-721.0,,,,,,,-766.0,-721.0,J,Hosea,Divines and Metaphysicians &cc,5.0,99.0,104,75.0,https://en.wikipedia.org/wiki/Hosea
Hosein,1204.0,,,,,Arabia,male,case1,C,d. (LL),d.,683.0,,,,,,56.0,627.0,683.0,,Hosein,Statesmen and Warriors,11.0,127.0,138,75.0,https://en.wikipedia.org/wiki/Husayn_ibn_Ali
Hoshea,1205.0,Hosea,Crabb,"Son of Elah, the last king of Isreal, A. M. 3265, A. C. 739. Having conspired against Pekah, son of Remaliah, king of Israel, he killed him and seized his dominions; but was taken prisoner by Salmanesar, king of Assyria, in the ninth year of his reign, and carried away with the ten tribes to countries beyond the Euphrates.",,,male,none,A,liv.,,,,,,-750.0,,,-45.0,0.0,,Hoshea,Statesmen and Warriors,17.0,127.0,144,-99.0,https://en.wikipedia.org/wiki/Hoshea
Hosius,1206.0,"Hosius, or Osius (Stanislaus)",Watkins,"A cardinal, was born at Cracow, in Poland, in 1503, of poor parents, but the superiority of his abilities brought him into notice, and he became bishop of Warmia. Pius IV. made him a cardinal, and employed him as legate to preside at the council of Trent. He was a learned and zealous champion for the Roman church. His works make 2 vols. folio. He died in 1579 .",,Spain,male,case2,E,d. ab.,d. ab.,361.0,,,,,,,316.0,361.0,F,Hosius,Divines and Metaphysicians &cc,22.0,99.0,121,75.0,https://en.wikipedia.org/wiki/Hosius_of_Corduba
Hottinger,1207.0,Hottinger (John Henry),Watkins,"A learned writer of Zurich in Switzerland, was born in 1620. His love of learning was so remarkable, that he was sent into foreign countries at the public expence, he visited several parts of Europe, and at his return was made professor of ecclesiastical history, and of the oriental languages. He was engaged by the elector palatine to restore the university of Heidelberg; and he was going on a public mission to Holland, when he was drowned in the river at Zurich, in 1667. His principal works are, Excreitationes Anti-Morinianae de Pentateuteho Samaritano, 4to.; Thesaurus Philologieus, seu clavis Scripture, &c. 4to.; Histeria Orientalis, &c. 4to.; Promptuarium, sive Bibliotheca Orientalis, 4to.; Etymologicon Orientale, sive Lexicon Harmonicum Heptaglotton, 4to. His son, John James Hettinger, was professor of theology at Zurich, and died in 1735, aged 83. He wrote several practical, pieces,",Moreri,Switzerland,male,case1,C,d. (LL),d.,1667.0,,,,,,47.0,1620.0,1667.0,Cr,Hottinger,Orators and Critics &cc,11.0,22.0,33,75.0,https://en.wikipedia.org/wiki/Johann_Heinrich_Hottinger
Hottoman,1208.0,Hotman (Francis),Watkins,"A French civilian, was born at Paris, in 1524. He studied at Orleans, where he took his degree of doctor in the civil law. He read lectures at Paris; but turning protestant he went to Switzerland, from whence he removed to Strasburg, where he obtained a professorship of civil law. Some years afterwards he returned to France and became professor at Bourges, but at the time of the massacre of St. Bartholomew he retired to Basil, where he died in 1590. His works were, published at Geneva in 1599, in 3 vols. folio.",Moreri,France,male,case1,C,d. (LL),d.,1590.0,,,,,,66.0,1524.0,1590.0,L,Hotman,Historians and Antiquaries Lawyers,6.0,0.0,6,75.0,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Hotman
"Howard, Charles",1209.0,Howard (Charles),Watkins,"Earl of Nottingham, and lord high admiral of England, was the son of lord William Howard, and born in 1536. He served when young under his father, and in 1568 was appointed general of the horse. The same year he displayed great valour in the north against the rebels commanded by the earls of Northumberland and Westmoreland. The year following he had the command of a squadron with which he escorted from Zealand to Spain, Anne of Austria, daughter of the emperor Maximilian, who was betrothed to Philip of Spain. In 1572 he succeeded his father as lord Effingham, and not long after was made knight of the garter. He had the important command of the English fleet when the Spanish armada entered the channel, and by his great skill and prudence contributed principally to its destruction. For these services he was created earl of Nottingham, and enjoyed the queen's confidence to her death. In the succeeding reign he was sent ambassador to Spain, but after his return he lost the king's favour, and resigned his post to the duke of Buckingham. He died in 1624.",,Great Britain,male,case1,C,d. (LL),d.,1624.0,,,,,,88.0,1536.0,1624.0,,C. Howard,Statesmen and Warriors,24.0,127.0,151,75.0,"https://en.wikipedia.org/wiki/Charles_Howard,_1st_Earl_of_Nottingham"
"Howard, Edward",1210.0,Howard (Edward),Watkins,"Younger brother of the above, distinguished himself as a naval commander. He entered early on the maritime service, and about 1494 was knighted. In 1512 he was sent as lord high admiral of England with a large fleet against France, the coasts of which he ravaged. He also defeated the enemy's fleet off Brest; but the year following he was slain in boarding the French admiral's ship, and his body thrown into the sea.",,Great Britain,male,case2,D,d.,d.,1513.0,,,,,,,1468.0,1513.0,,Ed. Howard,Statesmen and Warriors,27.0,127.0,154,75.0,https://en.wikipedia.org/wiki/Edward_Howard_(admiral)
"Howard, Thomas",1211.0,Howard (Thomas),Watkins,"Earl of Surrey, and II o w duke of Norfolk, a gallant English nobleman. He served with his brother, sir Ed- Ward, against sir Andrew Barton, a Scotch pirate, who infested the English coast in 1511, but was killed and his ships taken. He next accompanied the marquis of Dorset in his expedition to Guienne, which ended in the conquest of Navarre by Ferdinand. On the death of his brother, sir Edward, he was made high admiral, and effectually cleared the channel of the French cruizers. The victory of Floddea-lield, in which, the king of Scotland was slain, was chieflv owing to his bravery. For this his father was restored to the title of duke of Norfolk, and the son created earl of Surrey. On the breaking out of the disturbances in Ireland, he was appointed lieutenant of that kingdom, where he suppressed the rebellion. After serving there two years, he returned, and had the command of the fleet against France. Notwithstanding his great services, Henry, at the close of life, caused the dulce to be sent to the Tower, on a charge of treason, and his son to be beheaded in his presence The death of the tyrant only saved the duke's life. He died in 1554, aged Go.",,Great Britain,male,case1,C,d. (LL),d.,1553.0,,,,,,66.0,1487.0,1553.0,,F. Howard,Statesmen and Warriors,20.0,127.0,147,75.0,"https://en.wikipedia.org/wiki/Thomas_Howard,_3rd_Duke_of_Norfolk"
Hubba,1212.0,,,,,,male,case2,D,d.,d.,878.0,,,,,,,833.0,878.0,,Hubba,Statesmen and Warriors,23.0,127.0,150,75.0,https://en.wikipedia.org/wiki/Ubba
Hubert de Burgh,1213.0,,,,,Great Britain,male,case8,F,d. af.,d. af.,1232.0,,,,,,,1187.0,1233.0,,Hubert B.,Statesmen and Warriors,25.0,127.0,152,75.0,"https://en.wikipedia.org/wiki/Hubert_de_Burgh,_1st_Earl_of_Kent"
Hudson,1214.0,Hudson (John),Watkins,"A learned divine, was born at Wythop, in Cumberland, in 1662, and bred at Queen's college, Oxford, where he took his degrees in arts, and then removed to University college, on obtaining a fellowship. In 1701 he became keeper of the Bodleian library, and the same year took his degree of D. D. In 1712 he ""was appointed principal of St. Mary hall, through the interest of Dr. Radcliffe; and it was owing to Dr. Hudson that Radcliffe bestowed his liberal benefactions on the university. He married the daughter of sir Robert Harrison, by whom he left a daughter He died in 1719. Dr. Hudson published elegant editions of Velleius Paterculus, Thucydides, Geographiae Veteris Scriptores Graeci Minores, Dionysius Halicarnassensis, Longinus, Aesop, &c.; after his death appeared his beautiful edition of Josephus, 2 vols. folio.",,Great Britain,male,case1,C,d. (LL),d.,1719.0,,,,,,57.0,1662.0,1719.0,Cr,Hudson,Orators and Critics &cc,20.0,22.0,42,75.0,https://en.wikipedia.org/wiki/John_Hudson_(classicist)
"Huet, P.",1215.0,Huet (Peter Daniel),Watkins,"A learned French bishop, was born at Caen in Normandy, in 1630. He studied mathematics under Mambrun, a jesuit, and Greek and hebrew under Bochart whom he accompanied in 1652 to the court of Christina, queen of Sweden, who would have engaged him in her service, but he declined the honour, and returned to France. In 1651 he published an excellent work on the art of translation, entitled, De Interpretatione. In 1679 appeared his Demonstratio Evangelica. which was greatly admired. His reputation was now so great that the place of sub-preceptor to the dauphin was conferred on him, and he had for his colleague the illustrious Bossuet. In 1661 appeared his valuable edition of the works of Otigen. He formed the plan of publishing editions of the classics ""inusum Delphini,"" and superintended the execution. In 1676 he was presented to the abbey of Aunay, in Normandy, and in 1685 was nominated to the see of Soissons, which he exchanged for that of Avranches. In 1689 he printed his Censures on the Cartesian Philosophy, a system to which he had been zealously attached, hut the fallacy of which he now sufficiently exposed. In 1699 he resigned his bishopric, and was presented to the abbey of Fontenoy, near Caen. He died at Paris, in 1721. Huet, considering the number and excellence of his works, may be considered as one of the most learned men that any age has produced. The following books of his have been translated into English: on the Origin of Romances; on the Situation of the Terrestrial Paradise; History of the Commerce and Navigation of the Ancients and on the Weakness of Human Understanding.",Moreri,France,male,case1,C,d. (LL),d.,1721.0,,,,,,90.0,1631.0,1721.0,Cr,Huet,Orators and Critics &cc,10.0,22.0,32,50.0,https://en.wikipedia.org/wiki/Pierre_Daniel_Huet
Hugh Capet,1216.0,Hugh-Capet,Watkins,"The chief of the third race of French monarchs, was count of Paris and Orleans. On account of his courage and other qualities he was proclaimed king of France at Noyon in 987. He died in 996, aged 57.",,France,male,case1,C,d. (LL),d.,996.0,,,,,,56.0,940.0,996.0,,H. Capet,Statesmen and Warriors,20.0,127.0,147,75.0,https://en.wikipedia.org/wiki/Hugh_Capet
Hugh White,1217.0,,,,,France,male,case2,D,d.,d.,956.0,,,,,,,911.0,956.0,,Hugh Gr:,Statesmen and Warriors,19.0,127.0,146,75.0,https://en.wikipedia.org/wiki/Hugh_the_Great
Hugo (Cardinal),1218.0,Hugh de St. Cher,Crabb,"A dominican, and a cardinal, so called from the place of his birth, obtained a cardinal's cap from
 Innocent IV in 1244, and died in 1263, after having been employed by this pope, and his successor, Alexander IV, in affairs of the greatest importance. His principal works are, 1. 'Correctorium,' or Collection of various Readings of Hebrew, Greek, and Latin MSS. of the Bible, which is in
 the Sorbonne in MS. 2. 'Concordance de la Bible,' 8vo. Cologne, 1684, which is said to be the first work of the kind. 3. 'Speculum Ecclesia;,' 4to. Paris. 1480, and several times reprinted.",,France,male,case2,D,d.,d.,1262.0,,,,,,,1217.0,1262.0,D,Hugo Car:,Divines and Metaphysicians &cc,17.0,99.0,116,76.0,https://en.wikipedia.org/wiki/Hugh_of_Saint-Cher
Hulaku,1219.0,Hulaku Khan,Crabb,"Son of Tuli Khan, fourth son of Jenghiz Khan, was sumamed Il Khan, whence his posterity took the name of Ilkhanians. He was the first who reigned in Iran, or Persia, at large, and begun to reign in the year of the Hegira 653, A. D. 1263. He conquered Syria, put an end to the khalifate at Bagdad, and died in 663, A. D. 1273.",,China,male,case2,D,d.,d.,1264.0,,,,,,,1219.0,1264.0,,Hulaku,Statesmen and Warriors,7.0,127.0,134,76.0,https://en.wikipedia.org/wiki/Hulagu_Khan
Huldericus,1220.0,,,,,Germany,male,case6,G,d. ab. (LL),d. ab.,900.0,,,,,,83.0,817.0,900.0,D,Huldericus,Divines and Metaphysicians &cc,7.0,99.0,106,76.0,https://en.wikipedia.org/wiki/Ulrich_of_Augsburg
Humenus,1221.0,,,,,Africa,male,case3,A,fl.,,,,,fl.,1148.0,,,1118.0,1163.0,M,Humenus,Mathematicians &cc Physicians,18.0,69.0,87,76.0,https://en.wikipedia.org/wiki/Ibn_Yunus
Huniades,1222.0,Huniades (John Corvinus),Watkins,"Vaivode of Transylvania, and commander of Hungarian armies who forced Amurath the sultan of the Turks to retire from Belgrade, and defeated his generals in several battles. He became the terror of the Turks, but was defeated by them in 1448; and in 1456 he compelled Mahomet II. to raise the siege of Belgrade, and died the same year.",Moreri,Germany,male,case2,D,d.,d.,1456.0,,,,,,,1411.0,1456.0,,Huniades,Statesmen and Warriors,4.0,127.0,131,76.0,https://en.wikipedia.org/wiki/John_Hunyadi
"Huss, John",1223.0,Huss (John),Watkins,"A martyr, was born in Bohemia, in 1376, and educated at Prague, where he entered into orders, and became rector of the university, and confessor to the queen. Meeting with some of the writings of Wickliffe, he perceived the errors of popery, and by his means a reformation was commenced in the university of Prague, to check which the archbishop issued two decrees, whereby the new doctrines spread the more. The pope then granted a bull for suppressing these errors, and Huss being cited to appear at Rome, was excommunicated for disobedience. He went on, however, propagating his principles, and was supported therein by Wenceslaus king of Bohemia, till 1414, when he was summoned to appear before the council of Constance. The emperor Sigismund sent him a safe conduct, promising to preserve him in going to and returning from the council; but the members of that assembly, in violation of this pledge, decreed, ""that no faith is to be kept with heretics;"" and as Huss refused to retract his opinions, he was degraded, and burnt alive in 1415. His works were printed together at Nuremburgh in 1558.",,Germany,male,case1,C,d. (LL),d.,1415.0,,,,,,39.0,1376.0,1415.0,D,John Huss,Divines and Metaphysicians &cc,17.0,99.0,116,76.0,https://en.wikipedia.org/wiki/Jan_Hus
