NameInIndex,UO_ID,Bio Name,BioSource,Biography,Citation,Region_final,Sex or gender V2,case,VisualCase,IndexLifeCode,DeathPrecision,DeathDate,BornPrecision,BirthDate,Alive precision,AliveDate,LifeLength Precision,LifeLength,aproxBirthDate,aproxDeathDate,Index Category 1,NameOnChart,OnChartCategory,On Chart: Line #,Section starting Line,LineNumber,FullTextPageNum,WikiLink
Abibalus,11.0,Abibalus,Crabb,"The father of Hiram, king of Tyre, and friend of Solomon. He is the oldest Tyrian king of whom mention is made in history; Josephys quotes the Tyrian Annals, Menander, and Dio respecting him and his son.",,,,case3,A,fl.,,,,,fl.,-1048.0,,,-1078.0,-1033.0,,Abibalus,Statesmen and Warriors,7.0,127.0,134,40.0,
Abijah,12.0,Abijah,Watkins,"King of Judah, was the son of Rehoboam, and began his reign 958 B. C. In the second year of his reign he defeated Jeroboam, king of Israel.",SS.,Turky in Asia,male,case2,D,d.,d.,-955.0,,,,,,,-1000.0,-955.0,,Abijah,Statesmen and Warriors,11.0,127.0,138,40.0,https://en.wikipedia.org/wiki/Abibaal
Abrabinel,13.0,Abrabanel (Isaac),Watkins,"A learned rabbi, was born at Lisbon in 1437. He was a member of the council of Alphonsus, king of Portugal; but fell into disgrace on the death of that monarch, and fled to Castile, where he was protected by Ferdinand and Isabella. In 1492, he was obliged to quit Spain in consequence of an edict against the Jews, on which he retired to Naples, where he recommended himself to the favour of king Ferdinand, and his successor Alphonso. When the latter was driven from Naples by Charles VIII. king of France, Abrabanel accompanied him to Sicily, and at his death retired to the island of Corfu; but in 1496 he returned to Italy, and was employed at Venice to settle a dispute between the Portuguese and Venetians, respecting trade. Here he finished his commentaries on the scriptures, and died in 1508.",Bayle,Portugal,male,case1,C,d. (LL),d.,1508.0,,,,,,70.0,1438.0,1508.0,J,Abrabinel,Divines and Metaphysicians &cc,4.0,99.0,103,40.0,https://en.wikipedia.org/wiki/Isaac_Abarbanel
Abu Bekr,14.0,Abubekr,Watkins,"The successor of Mohammed, and the first who assumed the title of caliph. He acquired a great extent of territory, by conquering the Persians, Syrians, and Greeks. He died in 632, and was interred by the side of Mohammed, his son-in-law.",D'Herbelot,Arabia,male,case1,C,d. (LL),d.,634.0,,,,,,63.0,571.0,634.0,,Abubekr,Statesmen and Warriors,5.0,127.0,132,40.0,https://en.wikipedia.org/wiki/Abu_Bakr
Abu Temam,15.0,Abuteman,Watkins,"Surnamed Altayi, reckoned the prince of Arabian poets, was born in 842, or 846, at Yasem, near Damascus.",D'Herbelot,Turky in Asia,male,case1,C,d. (LL),d.,843.0,,,,,,41.0,802.0,843.0,P,Abu Temam,Artists Poets,5.0,43.0,48,41.0,https://en.wikipedia.org/wiki/Abu_Tammam
Abucaras,16.0,Abucaras (Theodore),Watkins,"Bishop of Caria in the 8th century, was a partizan of Photius but recanted at the council of Constantinople and was re-admitted to his seat. He wrote several controversial treatises, which were published at Ingoldstadt, in 4to, 1606. There was also published at Paris, in 1685, a work entitled ""De Unione et Incarnatione,"" by this writer, from a MS. found in the Bodleian library.",,Turky in Asia,male,case3,A,fl.,,,,,fl.,770.0,,,740.0,785.0,D,Abucaras,Divines and Metaphysicians &cc,15.0,99.0,114,40.0,https://en.wikipedia.org/wiki/Theodore_Abu_Qurrah
Abul Pharai,17.0,Abolfaragius (Gregory),Watkins,"An Armenian, physician, bishop, and historian, was born in 1226, at Malatia. near the source of the Euphrates. He wrote an universal history in Arabic, which Dr. Pococke published in 1068, with a Latin translation, and a supplement. He died in 1286.",,Turky in Asia,male,case14,M,b. liv. af.,,,b.,1226.0,l. af.,1285.0,,,1226.0,1285.0,H,Abulpharai,Historians and Antiquaries Lawyers,10.0,0.0,10,41.0,https://en.wikipedia.org/wiki/Bar_Hebraeus
Abulghazi,18.0,Abulgasi-Bayatur,Watkins,"Khan of the Tartars, was born at Urgens, the capital of Kharasm, in 1605. After a reign of twenty years he resigned the crown to his son, and led a retired life, during which he wrote the history of the Tartars, which valuable work, having been brought into Europe, has been published in German and French. He died in 1663.",Moreri,Western Tartary,male,case1,C,d. (LL),d.,1663.0,,,,,,59.0,1604.0,1663.0,H,Abulghazi,Historians and Antiquaries Lawyers,7.0,0.0,7,41.0,https://en.wikipedia.org/wiki/Abu_al-Ghazi_Bahadur
Abulseda,19.0,Abulseda (Ismael),Watkins,"Prince of Hamah, in Syria, who wrote a valuable piece, entitled ""A Description of Chorasmia and Mawaralnahre, or the Regions bevond the River Oxus, from the Tables of Abulseda Ismael, prince of Hamah."" This book was edited by John Greaves, who added to the original, which is in Arabic, a Latin translation. A new edition was published at Oxford, in 1712, by Hudson. Abulseda also wrote the lives of Mohammed and Saladin. He died about the year 1332","Bayle, Moreri",Turky in Asia,male,case1,C,d. (LL),d.,1345.0,,,,,,72.0,1273.0,1345.0,Geo,Abulseda,Historians and Antiquaries Lawyers,9.0,0.0,9,40.0,https://en.wikipedia.org/wiki/Abu%27l-Fida
Abusaid,20.0,Abusaid Khan,Watkins,"The last sultan of the race of Zingis Khan, ascended the throne in 1317, and died in 1336.",D'Herbelot,Turky in Asia,male,case1,C,d. (LL),d.,1335.0,,,,,,32.0,1303.0,1335.0,,Abusaid,Statesmen and Warriors,4.0,127.0,131,41.0,https://en.wikipedia.org/wiki/Abu_Sa%27id_Bahadur_Khan
Abydenus,21.0,Abydenus,Watkins,"Surnamed Monophthalmus, from having lost an eye, was the disciple and successor of Eusebius, bishop of Caesarea. He was deposed by the council of Sardica for heresy; on which he, and some Others, assembled at Philippolis, and anathematized Athanasius and the rest of their adversaries! Acacius was concerned in banishing pope Tiberius, and settling Felix in the see-vrf Rome. He was the founder of a sect called Acaciani, and died about the year 365. He wrote the Life of Eusebius, and other works.",,,male,case13,B,fl. ab.,,,,,fl. ab.,-300.0,,,-330.0,-285.0,H,Abydenus,Historians and Antiquaries Lawyers,20.0,0.0,20,41.0,https://en.wikipedia.org/wiki/Abydenus
Acca,22.0,Acca,Watkins,"Bishop of Hexham in Northumberland, in the eighth century. He ornamented his cathedral, improved church music, and encouraged learning. He was banished for some time from his see, for what cause is unknown, but he was afterwards restored, and died at Hexham in 740. He wrote a treatise on the sufferings of the saints, epistles, and other works..",,Great Britain,male,case2,D,d.,d.,740.0,,,,,,,695.0,740.0,D,Acca,Divines and Metaphysicians &cc,21.0,99.0,120,41.0,https://en.wikipedia.org/wiki/Acca_of_Hexham
Accius,23.0,Accius (Lucius),Watkins,"A Latin tragic poet, flourished about 170 years B. C. He wrote several tragedies on subjects taken from the Grecian history, and one, entitled Brutus, from the Roman. Two comedies, one named the Wedding, and the other the Merchant, are also ascribed to him. His style has been accounted harsh, but he is generally allowed to have been a great poet : none of his works are extant.",,Italy,male,case11,G,b. (LL) ab.,,,b.,-171.0,,,ab.,65.0,-171.0,-106.0,P,Accius,Artists Poets,12.0,43.0,55,41.0,https://en.wikipedia.org/wiki/Lucius_Accius
Accursius,24.0,Accorso (Francis),Watkins,"Professor of law at Bologna, was born at Florence in 1182. He reduced the code, digests, and institutes, into one system, printed at Lyons, in 6 vols. folio, 1627. He died in 1260, and was succeeded by his son Francis.",Bayle,Italy,male,case1,C,d. (LL),d.,1229.0,,,,,,77.0,1152.0,1229.0,L,Accursius,Historians and Antiquaries Lawyers,1.0,0.0,1,41.0,https://en.wikipedia.org/wiki/Accursius
Achilles Tatius,25.0,Tatius (Achilles),Watkins,"A native of Alexandria, who embraced the christian religion, and wrote a Commentary on the Phaenomena of Aratus, which is extant; also a Greek romance, called the Amours of Leucippus and Clitophon, printed in 1510, 12mo.",,Africa,male,case13,B,fl. ab.,,,,,fl. ab.,800.0,,,770.0,815.0,HP,Ach: Tatius,Divines and Metaphysicians &cc,26.0,99.0,125,41.0,https://en.wikipedia.org/wiki/Achilles_Tatius
Achillini,26.0,Achillini (Alexander),Watkins,"An eminent philosopher and physician of Bologna, where he died in 1512, aged 40. He is said to have discovered the hammer and anvil, two small bones in the organ of hearing. His works were published in folio at Venice, in 1568.",,Italy,male,case1,C,d. (LL),d.,1512.0,,,,,,47.0,1465.0,1512.0,M,Achillini,Mathematicians &cc Physicians,20.0,69.0,89,41.0,https://en.wikipedia.org/wiki/Alessandro_Achillini
Achmet,27.0,Achmet,Watkins,"An Arabian author, who wrote a book on the interpretation of dreams, which was published at Paris, in 1603. He lived about the fourth century.",Bayle,,male,case3,A,fl.,,,,,fl.,350.0,,,320.0,365.0,Cr,,,,,0,41.0,https://en.wikipedia.org/wiki/Achmet_(oneiromancer)
Acrisius,28.0,Acrisius,Crabb,"A king of Argos, and father of Danae, the mother of Perseus by Jupiter, was slain by his grandson according to the oracle.",,,male,case3,A,fl.,,,,,fl.,-1030.0,,,,0.0,,Acrisius,Statesmen and Warriors,24.0,127.0,151,40.0,https://en.wikipedia.org/wiki/Acrisius
Acron,29.0,Acron,Watkins,"A Sicilian physician, flourished 439 B.C. He expelled the plague from Athens by burning perfumes.",Moreri,Sicily,male,case3,A,fl.,,,,,fl.,-439.0,,,-469.0,-424.0,Ph,Acron,Mathematicians &cc Physicians,6.0,69.0,75,41.0,https://en.wikipedia.org/wiki/Acron
Acropolita G.,30.0,Acropolita (George),Watkins,"Son of the above, was called the younger Metaphrastes, and was great chancellor of the empire. He flourished about 1270.",,,male,case1,C,d. (LL),d.,1282.0,,,,,,62.0,1220.0,1282.0,H,G. Acropolita,Historians and Antiquaries Lawyers,14.0,0.0,14,41.0,https://en.wikipedia.org/wiki/George_Akropolites
Acusilaus,31.0,Acusilaus,Crabb,"A Greek historian, the son of Cabas, who lived, according to Josephus, before the expedition of Darius against Greece. He wrote 'Περί τών γενεαλογιών', i.e. concerning the genealogies of the principal families, of which only fragments are preserved, that have been published with those of Pherecydes, by M. Sturz, 8vo. Gera, 1798.",,Turky in Europe,male,case3,A,fl.,,,,,fl.,-550.0,,,-580.0,-535.0,H,Acusilaus,Historians and Antiquaries Lawyers,20.0,0.0,20,41.0,https://en.wikipedia.org/wiki/Acusilaus
