OBJECTID,index,cx,cy,x,y,dx,dy
4797,a165.6x-10.8,166.4858923,-22.31536623,165.6,-10.8,0.88589228,-11.51536623
4798,a169.2x-10.8,169.9640081,-21.77153261,169.2,-10.8,0.764008112,-10.97153261
4799,a172.8x-10.8,173.423611,-21.28549305,172.8,-10.8,0.62361098,-10.48549305
4800,a176.4x-10.8,176.8503393,-20.82789694,176.4,-10.8,0.450339344,-10.02789694
4801,a-180x-7.2,-181.0252186,-11.15018121,-180,-7.2,-1.02521856,-3.950181208
4802,a-176.4x-7.2,-177.5550791,-11.23109214,-176.4,-7.2,-1.155079123,-4.031092138
4803,a-172.8x-7.2,-174.0979485,-11.31199605,-172.8,-7.2,-1.29794852,-4.111996046
4804,a-169.2x-7.2,-170.6565843,-11.39237854,-169.2,-7.2,-1.456584305,-4.19237854
4805,a-165.6x-7.2,-167.2312474,-11.47173382,-165.6,-7.2,-1.631247427,-4.271733822
4806,a-162x-7.2,-163.8217884,-11.54979348,-162,-7.2,-1.821788443,-4.349793479
4807,a-158.4x-7.2,-160.4294565,-11.62636966,-158.4,-7.2,-2.029456504,-4.426369656
4808,a-154.8x-7.2,-157.0553368,-11.70140258,-154.8,-7.2,-2.255336776,-4.501402575
4809,a-151.2x-7.2,-153.7005053,-11.77499657,-151.2,-7.2,-2.500505268,-4.574996572
4810,a-147.6x-7.2,-150.3666237,-11.84746943,-147.6,-7.2,-2.766623651,-4.647469431
4811,a-144x-7.2,-147.0591577,-11.91981769,-144,-7.2,-3.059157652,-4.719817692
4812,a-140.4x-7.2,-143.7767767,-11.99389348,-140.4,-7.2,-3.376776679,-4.793893485
4813,a-136.8x-7.2,-140.52001,-12.07206788,-136.8,-7.2,-3.72001002,-4.872067876
4814,a-133.2x-7.2,-137.2903551,-12.15760781,-133.2,-7.2,-4.090355105,-4.957607814
4815,a-129.6x-7.2,-134.0887073,-12.25486508,-129.6,-7.2,-4.488707338,-5.054865083
4816,a-126x-7.2,-130.9151983,-12.36944829,-126,-7.2,-4.915198349,-5.169448294
4817,a-122.4x-7.2,-127.7705059,-12.5090684,-122.4,-7.2,-5.370505885,-5.309068398
4818,a-118.8x-7.2,-124.6554434,-12.69224268,-118.8,-7.2,-5.855443375,-5.492242682
4819,a-115.2x-7.2,-121.5601223,-12.92753514,-115.2,-7.2,-6.360122305,-5.72753514
4820,a-111.6x-7.2,-118.4748605,-13.23065713,-111.6,-7.2,-6.874860469,-6.030657131
4821,a-108x-7.2,-115.3863254,-13.61968617,-108,-7.2,-7.386325402,-6.419686166
